Column1,TeamNames,Conference,Year,Seed,Tournament or Not,Results,ADJOE,ADJDE,Barthag,efg%,efgd%,tor,tord,orb,drb,ftr,ftrd,2p%,2pd%,3p%,3pd%,adjt,AdjEM-KP,AdjO-KP,AdjD-KP,AdjT-KP,Luck-KP,AdjEM-SOS-KP,AdjO-SOS-KP,AdjD-SOS-KP,AdjEM-NCSOS-KP
0,Kansas,B12,2008,1,3,CHAMPS,121.4,85.5,0.9825,56.6,44.3,19.1,22.4,37.6,29.1,36.4,31,55.4,41.2,39.7,32.8,68.6,35.21,120.9,85.7,66.8,0.012,9.57,109.2,99.6,-1.41
1,Memphis,Amer,2008,1,3,Finals,117,86.1,0.9715,52.7,43.4,16.6,22.5,37.8,29.6,40.4,31.7,52.9,42.6,34.9,30.2,70.2,31.51,118,86.5,68.1,0.012,5.83,107,101.1,5.45
2,UCLA,P12,2008,1,3,Final Four,116.2,86.8,0.9664,52.2,46.5,19.1,21.8,39.2,27.2,37.3,25.6,52.4,45.4,34.4,32.9,66.1,29.94,118,88.1,64.1,0.047,10.03,109.3,99.3,-1.63
3,North Carolina,ACC,2008,1,3,Final Four,122.9,91.9,0.9659,53,48.2,18.8,21.1,42.5,29,38,25.7,52.1,47.8,37.2,32.6,74.7,30.22,122.1,91.9,72.5,0.05,10.18,108,97.8,1.5
4,Wisconsin,B10,2008,3,2,Sweet Sixteen,112.6,85.4,0.96,50.6,43.4,19.5,21.9,36.2,28.6,39.9,25.4,49.3,41.7,35.6,31.3,63.1,26.68,113.5,86.8,61.1,0.043,7.35,107.1,99.8,-0.19
5,Louisville,ACC,2008,3,2,Elite Eight,112.1,86.5,0.9514,53.1,44.1,20.2,21.7,33.4,30.9,36.5,33.5,53.5,43.1,35,30.5,67.2,25.41,113.1,87.7,65.3,-0.057,9.34,108.4,99,0.79
6,Duke,ACC,2008,2,1,R32,115.8,89.9,0.9488,53.6,47.6,18.3,24.7,33.9,33.7,40.9,31.9,51.7,47,37.7,32.9,73.5,26.4,116.3,89.9,71.5,-0.006,10.06,109.1,99,3.36
7,Texas,B12,2008,2,2,Elite Eight,120.6,93.8,0.9476,51.5,45.7,14.2,17.9,36.3,33.6,32,31,48.5,43.2,38,33.2,64.7,25.09,120.6,95.5,63.9,0.044,10.37,108.4,98,0.04
8,Georgetown,BE,2008,2,1,R32,113,87.9,0.9472,56.7,41.9,21.3,19.8,33.1,32.7,34,36,56.2,40.5,38.4,29.6,62.9,25.56,115.2,89.7,60.5,0.029,8.48,108.2,99.8,-2.72
9,Washington St.,P12,2008,4,2,Sweet Sixteen,113.4,89.8,0.9359,53.7,46.7,17,21.9,27.8,29.8,38.5,28.4,53,45.3,36.8,33.1,60,24.32,115.1,90.8,58.3,-0.004,8.99,109,100,-6.51
10,Stanford,P12,2008,3,2,Sweet Sixteen,112.8,89.8,0.932,49.8,44.3,18.8,17.7,39.1,29.2,39.6,32.8,48,42.1,36.6,33.3,65.1,22.75,113.6,90.9,63.4,0.04,9.32,109.1,99.7,-6.32
11,Marquette,BE,2008,6,1,R32,114.1,91.1,0.9304,50.6,46.3,18.7,23.9,38.2,33.4,37.5,41,49,46.7,35.8,30.4,68.6,22.16,115.3,93.1,66.6,-0.027,8.62,107.9,99.3,-6.37
12,Clemson,ACC,2008,5,1,R64,113.2,90.4,0.9299,51.9,48.1,20.3,24.6,39.8,36.4,30.6,33.8,49.7,49,37.5,30.4,69.6,22.03,114,91.9,68,-0.044,9.53,109.3,99.8,0.31
