Date,BikeType,TripType,AvgDuration,NumTrips,AvgHumidity,MinTemp,MaxTemp,Windy,Rain,Snow
2021-11-17,Standard,Round Trip,32,55,67,36.93,64.18,0,0,0
2019-01-30,Standard,Round Trip,33,22,64,11.79,37.98,0,1,1
2019-11-11,Standard,Round Trip,36,67,67,35.91,65.48,0,0,0
2022-02-14,Standard,Round Trip,17,23,53,15.3,32.68,0,0,0
2020-06-11,Electric,Round Trip,78,74,81,72.91,85.19,0,1,0
2022-07-05,Electric,One Way,15,889,66,65.17,89.49,0,1,0
2021-12-30,Standard,Round Trip,31,55,88,43.05,54.68,0,1,0
2023-01-03,Standard,One Way,15,693,88,46.18,60.69,0,1,0
2024-08-04,Standard,One Way,17,1273,89,71.29,84.9,0,1,0
2021-01-31,Standard,Round Trip,23,19,58,23.49,32.95,0,0,1
2024-06-01,Electric,One Way,20,2546,46,53.98,86.49,0,0,0
2020-11-12,Electric,Round Trip,25,22,91,45.79,68.11,0,1,0
2019-05-10,Standard,Round Trip,42,109,80,55.11,83.48,0,1,0
2021-02-11,Electric,Round Trip,37,10,80,26.91,35.69,0,0,1
2023-04-09,Standard,Round Trip,39,84,51,36.16,61.68,0,0,0
2024-04-02,Electric,One Way,12,747,94,44.78,51.69,0,1,0
2018-03-17,Standard,Round Trip,65,76,36,28.29,49.01,0,0,0
2024-07-13,Standard,Round Trip,65,72,81,72.28,92.77,0,1,0
2018-12-20,Standard,One Way,13,901,82,25.18,44.01,0,1,0
2017-07-21,Standard,One Way,15,2765,57,78.3,93.09,0,0,0
2023-05-26,Electric,Round Trip,41,114,54,47.05,76.98,0,0,0
2021-12-13,Standard,Round Trip,49,48,48,34.92,55.99,0,0,0
2019-11-11,Electric,One Way,22,435,67,35.91,65.48,0,0,0
2021-07-22,Standard,One Way,17,2262,59,60.91,84.11,0,0,0
2019-07-29,Standard,One Way,17,2298,61,71.29,95.68,0,1,0
2019-01-16,Standard,One Way,15,1247,72,22.91,39.69,0,0,0
2020-12-26,Electric,One Way,19,126,56,22.17,33.01,1,0,0
2022-07-14,Standard,One Way,16,2037,60,70.18,93.18,0,0,0
2019-11-24,Standard,Round Trip,46,60,84,37.18,46.29,0,1,0
2019-12-23,Electric,One Way,17,215,71,27.91,53.98,0,0,0
2024-07-11,Standard,One Way,15,1868,72,71.06,91.09,0,1,0
2018-11-18,Standard,One Way,34,1203,69,32.5,49.32,0,0,0
2023-02-08,Electric,Round Trip,25,42,69,35.78,58.17,0,0,0
2023-08-12,Electric,Round Trip,41,112,75,66.9,88.77,0,1,0
2021-02-24,Standard,One Way,17,764,61,30.11,57.11,0,0,0
2021-03-25,Electric,Round Trip,43,42,93,51.69,62.69,0,1,0
2023-12-08,Electric,Round Trip,26,36,75,31.98,54.95,0,0,0
2017-07-21,Standard,Round Trip,39,163,57,78.3,93.09,0,0,0
2019-06-03,Standard,One Way,17,2565,59,51.3,73.98,0,1,0
2018-01-13,Standard,Round Trip,31,29,75,28.29,62.51,1,1,0
2019-05-19,Electric,Round Trip,58,22,71,57.9,88.68,0,0,0
2020-11-13,Electric,Round Trip,52,33,90,46.29,54.1,0,1,0
2020-09-03,Electric,Round Trip,37,59,75,71.11,90.18,0,1,0
2023-03-21,Standard,One Way,16,1136,44,30.97,63.77,0,0,0
2023-08-21,Electric,One Way,14,1857,70,67.77,92.08,0,0,0
2018-06-06,Standard,Round Trip,51,107,62,59.97,72.61,0,0,0
2023-05-02,Electric,One Way,12,1347,69,44.29,56.1,0,1,0
2019-09-25,Standard,One Way,17,2756,55,52.29,82.49,0,0,0
2021-10-11,Electric,One Way,16,1044,81,60.91,71.8,0,0,0
2023-03-07,Electric,One Way,11,1018,51,34.05,51.69,0,1,0
2023-04-07,Standard,Round Trip,33,64,46,51.15,71.06,0,1,0
