Date,Price_ETH,TrxCount_ETH,MarketCap_ETH,TxValAdj_ETH,HashRate_ETH,Supply_ETH,Price_BTC,TrxCount_BTC,MarketCap_BTC,TxValAdj_BTC,HashRate_BTC,Supply_BTC,Price_LTC,TrxCount_LTC,MarketCap_LTC,TxValAdj_LTC,HashRate_LTC,Supply_LTC,Price_DOGE,TrxCount_DOGE,MarketCap_DOGE,TxValAdj_DOGE,HashRate_DOGE,Supply_DOGE
8/8/2015,1.19999,2881,86768712.52,16098688.56,0.096483107,72307863,261.4502756,100950,3784607716,90719162.17,420413.405,14475439.77,3.883914909,3502,161254362.2,4450947.229,1.373246678,41518510.58,0.000157681,13529,15842194.95,255789.1237,1.274321931,1.0047E+11
8/9/2015,1.19999,1329,86801326.19,1233427.656,0.101359674,72335041.28,266.3420205,88144,3856363388,187047374.3,372000.7193,14478989.77,3.933676053,3250,163428350.2,5110514.149,1.283338521,41545960.58,0.000165315,15565,16611370.04,236901.1002,1.213869891,1.00483E+11
8/10/2015,1.19999,2037,86834706.72,1742816.311,0.111855484,72362858.62,264.9288252,115928,3837007827,74859548.29,437493.8037,14483164.77,3.95582592,3622,164459746.4,4634816.727,1.303318458,41574060.58,0.000162522,14403,16332832.23,368072.2008,1.187067632,1.00496E+11
8/11/2015,0.99,4963,71666977.57,1190079.02,0.124449902,72390886.44,271.4217361,115981,3932144983,90456835.57,424395.1868,14487214.77,4.146911575,3419,172520481.2,4729593.083,1.303318458,41602160.58,0.000165396,13457,16623780.95,287029.5232,1.20681762,1.00509E+11
8/12/2015,1.288,2036,93274715.5,819916.3112,0.130915032,72418257.37,268.1438685,116970,3885502464,121367333.6,330085.1453,14490364.77,4.053876899,3501,168765370.5,3929643.067,1.31828402,41630610.58,0.000161331,13527,16217282.8,204588.0333,1.192013513,1.00522E+11
8/13/2015,1.8848,2842,136547211.3,2909097.565,0.143056636,72446525.5,264.691628,115808,3836450982,107562685,385099.3362,14494039.77,3.897502896,3129,162366699,2517399.518,1.302250878,41659160.58,0.000157381,13261,15822226.14,148796.396,1.155015564,1.00535E+11
8/14/2015,1.795044162,3174,130100550.6,3522379.1,0.179594595,72477632.22,266.3559416,110518,3861519172,121267429.8,372000.7193,14497589.77,4.02949632,3191,167976245.4,3644161.395,1.254357238,41686660.58,0.000158413,11665,15928025.04,141866.8901,1.13788716,1.00547E+11
8/15/2015,1.782222443,2284,129222078.7,13456344.41,0.210530125,72506144.87,261.9368366,96407,3798349936,125812385.2,358902.1025,14501014.77,3.942407616,2873,164456786.9,3519256.424,1.284005682,41714810.58,0.000152638,19423,15349316.87,179981.8785,1.17257925,1.0056E+11
8/16/2015,1.533073776,2440,111198807.2,2334647.627,0.215717629,72533239.41,258.9308174,88617,3755652917,123402977.5,361521.8258,14504464.77,3.974425197,3129,165899107.6,4250538.1,1.212450479,41741660.58,0.000148747,27696,14959944.85,198845.8962,1.157519571,1.00573E+11
8/17/2015,1.29638,2512,94067093.69,2819684.533,0.241920988,72561358.31,258.0093983,120631,3743236411,158761609.5,385099.3362,14508139.77,4.000381344,3810,167099571.4,5132829.992,1.304049238,41770910.58,0.000150321,13478,15120048.35,107081.6032,1.153348345,1.00585E+11
8/18/2015,1.084186569,2494,78698415.5,1469247.912,0.250772424,72587521.12,217.8858831,117676,3161886893,172429634.6,369380.996,14511664.77,3.387980465,3487,141621007.3,3931895.946,1.341944686,41801010.58,0.000124227,13694,12497023.93,147037.9633,1.228645923,1.00598E+11
