,FBCLOSE,FBVOLUME,AAPLCLOSE,AAPLVOLUME,AMZNCLOSE,AMZNVOLUME,GOOGLCLOSE,GOOGLVOLUME,NFLXCLOSE,NFLXVOLUME,SP500
4/7/2021,313.09,22530430,127.9,82376210,3279.39,3253737,2239.03,1157259,546.99,2128810,4079.95
4/6/2021,306.26,17335246,126.21,80171253,3223.82,2537809,2209.26,1762039,544.53,3474205,4073.94
4/5/2021,308.91,28237006,125.9,88651175,3226.73,3334882,2218.96,2425480,540.67,3355904,4077.91
4/1/2021,298.66,17615980,123,75089134,3161,2940318,2129.78,1994005,539.42,3938637,4019.87
3/31/2021,294.53,19498157,122.15,118323826,3094.08,3093896,2062.52,2128482,521.66,3503111,3972.89
3/30/2021,288,17474537,119.9,85671919,3055.29,2337603,2046.47,1365856,513.39,2418129,3958.55
3/29/2021,290.82,21718831,121.39,80819203,3075.73,2745968,2045.79,1324631,513.95,3330049,3971.09
3/26/2021,283.02,17629185,121.21,94071234,3052.03,3312924,2024.73,1398875,508.05,3467797,3974.54
3/25/2021,278.74,24505648,120.59,98844681,3046.26,3563469,2032.46,1780787,502.86,4926764,3909.52
3/24/2021,282.14,18675046,120.09,88530485,3087.07,2958981,2032.53,1260853,520.81,4102211,3889.14
3/23/2021,290.63,23000929,122.54,95467142,3137.5,3817263,2041.33,1425456,535.09,5583461,3910.52
3/22/2021,293.54,28273073,123.39,111912284,3110.87,2902179,2030.69,1676771,523.11,3360587,3940.59
3/19/2021,290.11,38930536,119.99,185549522,3074.96,4625354,2026.96,2303596,512.18,4386360,3913.1
3/18/2021,278.62,18754853,120.53,121469755,3027.99,3657027,2021.34,1585648,504.79,4096606,3915.46
3/17/2021,284.01,21315044,124.76,111932636,3135.73,3118584,2082.22,1319126,524.44,2817376,3974.12
3/16/2021,279.28,22437665,125.57,115227936,3091.86,2538764,2083.89,1595015,524.03,3238888,3962.71
3/15/2021,273.75,16856746,123.99,92590555,3081.68,2918592,2054.44,1310741,520.25,3485519,3968.94
3/12/2021,268.4,20600198,121.03,88105050,3089.49,2421888,2050,1690899,518.02,3981743,3943.34
3/11/2021,273.88,21833979,121.96,103026514,3113.59,2776391,2100.54,1385130,523.06,4714469,3939.34
3/10/2021,264.9,14210318,119.98,111943326,3057.64,3012489,2036.19,1355004,504.54,3771484,3898.81
3/9/2021,265.74,22039740,121.085,129525780,3062.85,4030032,2040.36,1696031,506.44,3470042,3875.44
3/8/2021,255.31,18391768,116.36,154376610,2951.95,4185008,2007.5,1843371,493.33,3981758,3821.35
3/5/2021,264.28,26820055,121.42,153766601,3000.46,5388551,2097.07,2654977,516.39,5069973,3841.94
3/4/2021,257.64,31626463,120.13,178154975,2977.57,5481578,2033.93,2460786,511.29,5034792,3768.47
3/3/2021,255.41,15513515,122.06,112966340,3005,3988725,2011.41,1694645,520.7,5362443,3819.72
3/2/2021,259,15191722,125.12,102260945,3094.53,2595762,2064.48,1278184,547.82,3042226,3870.29
3/1/2021,264.91,22157255,127.79,116307892,3146.14,2733963,2069.66,1303089,550.64,3042180,3901.82
2/26/2021,257.62,26313472,121.26,163424672,3092.93,4246135,2021.91,1978740,538.85,3708255,3811.15
2/25/2021,254.69,18430701,120.99,144766924,3057.16,4399320,2015.95,2047513,546.7,4090475,3829.34
2/24/2021,264.31,15736123,125.35,111039904,3159.53,3011275,2083.81,1130437,553.41,3245038,3925.43
2/23/2021,265.855,21924557,125.86,158273022,3194.5,4677222,2060.12,1732899,546.15,4136532,3881.37
2/22/2021,260.33,17298474,126,102886922,3180.74,3461266,2054.26,1458920,533.78,3061747,3876.5
2/19/2021,261.56,25622587,129.87,87668834,3249.9,4305184,2088.81,1896939,540.22,2841457,3906.71
2/18/2021,269.39,15249134,129.71,96856748,3328.23,3033607,2105.81,1128549,548.22,2457604,3913.97
2/17/2021,273.57,12619051,130.84,97372199,3308.64,3261801,2118.62,986524,551.34,2057853,3931.33
2/16/2021,273.97,15417243,133.19,80576316,3268.95,2574721,2110.7,1550195,557.28,2624097,3932.59
2/12/2021,270.5,9097597,135.37,60145130,3277.71,2335339,2095.03,949525,556.52,2197128,3934.83
2/11/2021,270.39,12828572,135.13,64280029,3262.13,2301417,2088.75,1024029,557.59,2730587,3916.38
2/10/2021,271.87,14188230,135.39,72647988,3286.58,3125174,2086.48,1252689,563.59,3940210,3909.88
2/9/2021,269.45,14420322,136.01,75986989,3305,2179355,2075.39,1093053,559.07,3685157,3911.23
2/8/2021,266.58,13755191,136.91,71297214,3322.94,3257391,2084.52,1441443,547.92,2791721,3915.59
2/5/2021,268.1,12454367,136.76,75693830,3352.15,3620808,2088.83,1493256,550.79,2376175,3886.83
2/4/2021,266.49,16059958,137.39,84183061,3331,3670661,2053.63,2429780,552.16,5164537,3871.74
2/3/2021,266.65,14223377,133.94,89880937,3312.53,7088781,2058.88,4894082,539.45,3172288,3830.17
2/2/2021,267.08,16964380,134.99,82266419,3380,6183716,1919.12,3108776,548.16,3717321,3826.31
2/1/2021,262.01,22914255,134.14,106239823,3342.88,4160212,1893.07,2012603,539.04,3547507,3773.86
1/29/2021,258.33,30389499,131.96,177523812,3206.2,4293556,1827.36,2226509,532.39,4325264,3714.24
