PRCP,TMAX,TMIN,AdverseConditions,Date,CountOfTrips,DurationOfTrips
0,44,22,0,2017-01-01,875,37304
0.06,49,28,0,2017-01-02,324,7952
0.24,42,34,0,2017-01-03,725,12381
0.26,47,41,0,2017-01-04,1338,24264
0,53,24,0,2017-01-05,1086,19117
0.08,32,26,0,2017-01-06,838,12920
0,32,23,0,2017-01-07,154,4366
0.24,23,12,0,2017-01-08,190,5229
0,23,4,0,2017-01-09,563,12640
0,23,4,0,2017-01-10,858,14197
0.24,43,8,0,2017-01-11,1333,20102
0.26,53,38,0,2017-01-12,1619,29721
0,67,49,0,2017-01-13,1398,22134
0,49,29,0,2017-01-14,621,14073
0.01,36,29,0,2017-01-15,773,15758
0,38,20,0,2017-01-16,1019,21595
0,42,21,0,2017-01-17,1027,16364
0.46,44,37,1,2017-01-18,1486,23853
0,45,36,1,2017-01-19,1612,23703
0,47,28,0,2017-01-20,1229,18389
0.11,41,28,0,2017-01-21,1208,27035
0,46,41,1,2017-01-22,641,11822
0.11,48,41,1,2017-01-23,537,13095
0.91,41,35,0,2017-01-24,1111,16079
0.15,43,35,0,2017-01-25,1686,31581
0,53,37,0,2017-01-26,1428,26277
0.07,53,39,0,2017-01-27,1347,23696
0,43,30,0,2017-01-28,830,30976
0,40,25,0,2017-01-29,807,19033
0,42,24,0,2017-01-30,1268,20017
0,39,23,0,2017-01-31,1263,19340
0,40,24,0,2017-02-01,1516,21772
0,49,30,0,2017-02-02,1486,23535
0,46,25,0,2017-02-03,1223,23291
0,34,20,0,2017-02-04,731,16150
0,34,20,0,2017-02-05,705,12367
0,42,25,0,2017-02-06,1527,27800
0,52,34,0,2017-02-07,1433,22819
0.17,61,38,0,2017-02-08,1873,38347
0.39,65,31,1,2017-02-09,407,13504
0.08,31,19,0,2017-02-10,974,16579
0,31,20,0,2017-02-11,944,19435
0,49,27,0,2017-02-12,464,14519
0.18,40,32,0,2017-02-13,1080,14923
0,41,23,0,2017-02-14,1319,18968
0,40,24,0,2017-02-15,1530,21189
0,51,29,0,2017-02-16,1285,17214
0,37,25,0,2017-02-17,1338,19602
0,42,24,0,2017-02-18,1755,55371
0,66,25,0,2017-02-19,2210,95675
0,67,43,0,2017-02-20,1856,49900
0,56,29,0,2017-02-21,1665,26437
0,52,29,0,2017-02-22,1909,32258
0,58,39,1,2017-02-23,2043,45494
