Fips,Income,Older,Urban,Trump2016,Trump2020,RepGov,Female
1001,59338,13.3516,58,73.43579,71.43681,1,1
1003,57588,18.08256,57.72,77.35147,76.17137,1,1
1005,34382,17.12386,32.21,52.27142,53.45123,1,1
1007,46064,15.13983,31.65,76.96616,78.42627,1,1
1009,50412,16.11238,10.05,89.85188,89.57156,1,1
1011,29267,14.37811,48.63,24.22889,24.84284,1,1
1013,37365,17.29379,28.77,56.31549,57.5253,1,1
1015,45400,15.49407,66.3,69.2397,68.84843,1,1
1017,39917,17.51673,50.85,56.63377,57.26904,1,1
1019,42132,19.28697,14.26,83.87128,86.03365,1,1
1021,47547,14.75768,13.26,82.54177,83.29881,1,1
1023,39907,19.88636,0,56.43919,57.55627,1,1
1025,40741,17.13478,24.02,54.95517,55.75942,1,1
1027,39201,18.04823,0,79.58004,80.82251,1,1
1029,46495,17.45871,0,87.84445,89.71911,1,1
1031,55122,15.00895,52.8,77.1462,75.86533,1,1
1033,49055,17.82242,56.11,67.8876,68.86251,1,1
1035,32613,19.65679,19.05,52.16262,53.43891,1,1
1037,42423,17.90698,0,64.63718,66.27122,1,1
1039,40203,19.05337,30.35,83.58832,83.6833,1,1
1041,39057,16.24365,0,72.15292,73.50763,1,1
1043,45796,17.09974,26.76,87.8105,88.12215,1,1
1045,45309,14.84904,49.11,74.11506,72.46428,1,1
1047,34035,15.12635,54.36,30.88094,30.92253,1,1
1049,39491,14.49637,9.87,83.48923,84.36777,1,1
1051,60367,13.70973,45.81,74.8381,73.51694,1,1
1053,38418,16.8822,36.49,67.58694,68.31552,1,1
1055,44903,16.59986,62.52,73.91084,74.43848,1,1
1057,39254,18.7877,19.77,81.8082,83.2763,1,1
1059,39388,15.70129,29.63,79.18026,82.49324,1,1
1061,37823,18.14076,10.36,85.4876,86.47269,1,1
1063,28524,17.07176,0,17.2357,18.32461,1,1
1065,34724,16.30544,10.83,39.6005,40.26761,1,1
1067,46027,19.22399,12.25,70.13846,71.05829,1,1
1069,47993,15.57137,66.2,72.72662,70.64301,1,1
1071,41929,17.64199,22.98,80.07217,83.22051,1,1
1073,55013,13.81237,90.17,45.02208,42.60975,1,1
1075,40936,19.28187,0,83.95614,85.83345,1,1
1077,48707,17.62955,50.7,71.45802,71.54198,1,1
1079,43909,15.60252,8.71,73.39124,76.86357,1,1
1081,48937,10.11205,72.59,59.51481,59.0925,1,1
1083,64863,13.62271,42.39,73.15736,70.35645,1,1
1085,33973,16.24413,0,26.22828,26.86174,1,1
1087,32495,17.4993,44.45,15.93507,17.66594,1,1
1089,63755,13.27371,83.56,55.93361,52.77074,1,1
1091,37733,17.88294,30.68,47.71648,49.01835,1,1
1093,37887,19.07729,11.15,87.30638,88.39719,1,1
1095,46233,15.62182,46.73,83.56071,83.6994,1,1
1097,43598,14.08529,79.98,55.74923,55.27451,1,1
1099,39556,16.73869,20.96,56.66175,57.62093,1,1
1101,49640,12.8949,89.51,35.87531,33.6003,1,1
1103,52797,14.97945,61.4,74.79746,73.83195,1,1
1105,26814,17.68817,0,26.69838,25.60229,1,1
1107,37586,17.59645,0,57.44681,57.86098,1,1
1109,37259,14.12782,48.32,58.97121,58.10274,1,1
1111,40546,18.67117,18.66,75.98223,78.97942,1,1
1113,39104,12.20739,64.59,48.12918,46.24689,1,1
1115,57284,14.63138,27.2,83.24063,81.37981,1,1
1117,75663,12.33181,77.06,73.42754,69.3345,1,1
1119,27859,15.61753,0,24.73791,25.40137,1,1
1121,41630,15.6869,44.18,62.00253,62.34753,1,1
1123,42205,18.29058,25.77,70.07674,71.28293,1,1
1125,52557,11.71131,74.49,58.37984,56.68833,1,1
1127,45434,17.44481,25.91,82.7822,83.41995,1,1
1129,44424,15.75668,0,71.01978,73.95222,1,1
1131,25385,16.59091,0,28.49877,31.05201,1,1
1133,41156,18.78418,15.11,89.95612,90.34917,1,1
4001,33652,12.94267,25.94,28.48491,32.52139,1,0
4003,49164,20.46523,63.7,58.02489,58.79814,1,0
4005,60187,11.05998,68.53,36.88709,36.88272,1,0
4007,43585,25.28262,58.94,63.89383,66.39569,1,0
4009,50157,13.21752,53.56,67.21668,71.67912,1,0
4011,65818,11.52125,53.43,58.34105,65.97071,1,0
4012,37350,35.66974,43.67,68.56622,68.75335,1,0
4013,65234,13.32448,97.64,49.12624,48.11196,1,0
4015,45129,26.53004,77.04,73.6713,75.00597,1,0
4017,40650,15.34402,45.86,51.30052,53.40942,1,0
4019,53395,17.25417,92.48,40.75235,39.89707,1,0
4021,58848,17.97443,78.1,57.41379,57.86789,1,0
4023,40545,15.2546,73.12,24.45397,31.66505,1,0
4025,48758,27.30611,66.8,63.44255,63.87982,1,0
4027,44116,17.28171,89.57,50.50664,52.24666,1,0
5001,43887,16.89226,65.29,62.02367,68.40432,1,0
5003,41127,17.48335,48.32,66.50056,69.99747,1,0
5005,39686,29.04022,34.16,74.87737,75.3844,1,0
5007,68978,12.46098,74.84,64.44909,61.68274,1,0
5009,44482,18.98407,37.8,76.8288,79.77095,1,0
5011,37729,17.03771,50.41,59.80094,63.90258,1,0
5013,44969,19.66732,0,69.06667,74.97709,1,0
5015,45023,20.56297,27.17,63.56044,62.93125,1,0
5017,31787,19.14594,45.72,41.35936,42.70046,1,0
5019,45408,16.9483,45.62,52.57621,54.98511,1,0
5021,37687,20.70095,41.14,63.21513,78.83466,1,0
5023,44902,24.50187,24.48,78.99398,81.4511,1,0
5025,47600,17.25979,0,74.56805,79.63889,1,0
5027,40909,16.22276,42.51,61.74041,63.83473,1,0
5029,44565,17.59059,29.48,61.80937,65.56131,1,0
5031,45615,12.33381,67.83,65.19675,66.36546,1,0
5033,47363,14.50307,48.04,75.1749,77.23631,1,0
5035,42606,11.55963,79.11,44.0119,44.80357,1,0
5037,41214,16.15898,43.21,67.00337,71.24747,1,0
5039,37259,19.91842,47.36,54.97993,59.3809,1,0
5041,36132,16.35476,68.58,45.31472,46.13353,1,0
5043,42494,15.5618,51.39,60.5464,62.95599,1,0
5045,53882,10.9555,61.24,62.9152,63.24134,1,0
5047,43696,17.24828,17.4,75.15677,79.63248,1,0
5049,35630,23.7858,7.08,73.14503,77.3784,1,0
5051,43610,21.20861,63.1,64.58834,65.76846,1,0
5053,52050,15.39536,24.97,75.27353,82.85366,1,0
5055,46512,14.48123,58.49,74.17834,78.69566,1,0
5057,38682,15.40559,44.23,62.87228,65.27453,1,0
5059,47205,17.30065,34.03,69.0055,73.28184,1,0
5061,40199,15.25804,32.48,68.08372,69.65247,1,0
5063,45596,15.88031,31.42,73.83025,77.52205,1,0
5065,37828,24.84202,0,74.90734,79.70741,1,0
5067,36573,18.88577,34.94,64.0487,70.57552,1,0
5069,38596,15.16269,69.08,35.94206,37.84482,1,0
5071,39381,15.48515,28.63,67.48917,73.04696,1,0
5073,35527,20.72829,0,61.72839,65.58417,1,0
5075,40308,18.51965,36.44,72.19755,78.00922,1,0
5077,28080,18.48341,36.49,40.91212,45.1545,1,0
5079,44951,16.59878,0,64.36812,70.42581,1,0
5081,43559,18.27229,31.48,69.41448,71.7597,1,0
5083,41471,18.40749,28.98,73.18536,78.31003,1,0
5085,56651,11.7328,55.19,74.35552,74.63309,1,0
5087,42674,16.81076,0,72.50073,76.96912,1,0
5089,36581,25.51365,0,75.57309,77.07584,1,0
5091,42162,14.61629,59.99,70.51514,72.11568,1,0
5093,36718,12.83799,63.73,53.77453,59.11522,1,0
5095,32922,20.23576,31.02,50.61461,54.86506,1,0
5097,38318,23.35726,0,74.68795,78.64704,1,0
5099,37626,19.12791,30.82,61.89298,63.51995,1,0
5101,36078,22.13884,0,77.05709,79.83992,1,0
5103,37624,17.19035,43.65,54.11395,54.97975,1,0
5105,45342,17.92079,0,70.7097,75.18911,1,0
5107,29945,15.49889,52.03,35.43661,38.72157,1,0
5109,41534,17.81451,0,79.62589,82.87801,1,0
5111,37370,16.38003,28.86,59.60629,78.68635,1,0
5113,39048,20.63257,26.61,81.34467,82.86219,1,0
5115,45788,14.15706,45.51,72.84288,74.0054,1,0
5117,43245,20.73761,0,73.53114,79.71387,1,0
5119,49957,12.76283,87.72,38.78956,37.47264,1,0
5121,37799,18.95406,32.58,71.4082,78.61127,1,0
5123,33257,14.67851,48.45,43.10577,45.61058,1,0
5125,63677,16.31155,63.84,68.98463,69.44644,1,0
5127,35826,17.46179,29.64,78.82002,83.41312,1,0
5129,31659,22.66667,0,79.90806,83.72729,1,0
5131,46843,13.58875,79.19,66.04909,66.18159,1,0
5133,44100,12.789,36.4,72.6367,74.66359,1,0
5135,36032,24.52494,19.94,75.17386,78.48269,1,0
5137,34009,24.02913,0,73.83752,77.73661,1,0
5139,45335,15.95665,45.5,62.43726,63.09388,1,0
5141,40486,23.7273,0,75.68555,77.28961,1,0
5143,50893,10.43603,74.51,51.71651,50.39357,1,0
5145,44811,15.11108,45.68,76.63837,78.29691,1,0
5147,34306,19.15513,0,52.70588,62.31825,1,0
5149,41729,15.69767,20.87,71.99875,77.52559,1,0
6001,101744,11.978,99.61,14.87113,17.7056,0,0
6003,55384,19.6347,0,36.69565,32.92847,0,0
6005,58515,25.46423,39.58,59.57756,60.91382,0,0
6007,50945,16.43142,81.1,48.0301,47.75484,0,0
6009,62984,24.38418,24.59,58.5296,60.80842,0,0
6011,57249,12.4498,68.28,53.85199,57.27581,0,0
6013,101463,13.56035,99.21,25.43897,26.30233,0,0
6015,48518,16.80217,66.33,54.84457,56.41809,0,0
6017,81869,17.02576,65.3,53.38347,53.24528,0,0
6019,52318,10.72391,89.19,45.53152,45.08222,0,0
6021,47365,14.21613,59.13,61.71234,62.54871,0,0
6023,49471,14.92029,70.24,32.35521,31.62957,0,0
6025,46633,12.16769,82.58,27.05324,36.75553,0,0
6027,53793,20.7372,53.57,53.12656,48.72904,0,0
6029,51586,9.789833,89.79,54.73143,53.88925,0,0
6031,58255,9.388079,89.15,54.09613,54.88622,0,0
6033,45086,19.68498,66.89,44.09352,45.56597,0,0
6035,57705,16.38288,29.47,72.67319,74.84356,0,0
6037,67986,11.70613,99.39,23.38869,26.86866,0,0
6039,53632,12.82291,67.08,56.09841,54.68523,0,0
6041,122933,18.92912,93.48,15.94582,15.79707,0,0
6043,51402,25.23809,0,58.40937,57.87938,0,0
6045,51386,18.09809,54.77,31.22868,30.61427,0,0
6047,56169,10.22606,85.73,43.47294,43.51288,0,0
6049,45227,21.22261,30.04,71.83686,71.66897,0,0
6051,66499,13.57891,54.17,40.35701,37.30147,0,0
6053,69665,11.72974,90.18,27.28495,28.25125,0,0
6055,85624,16.05939,86.6,29.57443,28.66809,0,0
6057,66681,22.15606,57.87,44.1578,41.3652,0,0
