FIPS,Date,State,County,State_Code,Deaths,Cases,Pop,NeighborDeaths,NeighborCases,NeighborPop
1001,2-Nov-20,Alabama,Autauga,AL,30,2186,55869,358,18683,399045
1003,2-Nov-20,Alabama,Baldwin,AL,71,6985,223234,664,35692,828840
1005,2-Nov-20,Alabama,Barbour,AL,9,1065,24686,112,7556,179307
1007,2-Nov-20,Alabama,Bibb,AL,15,883,22394,672,46609,1153632
1009,2-Nov-20,Alabama,Blount,AL,25,2108,57826,657,42858,1094416
1011,2-Nov-20,Alabama,Bullock,AL,17,655,10101,256,15793,360315
1013,2-Nov-20,Alabama,Butler,AL,41,1026,19448,124,5072,103720
1015,2-Nov-20,Alabama,Calhoun,AL,65,4925,113605,159,12016,312864
1017,2-Nov-20,Alabama,Chambers,AL,47,1397,33254,301,13413,332789
1019,2-Nov-20,Alabama,Cherokee,AL,15,791,26196,276,21114,468196
1021,2-Nov-20,Alabama,Chilton,AL,33,1958,44428,210,16960,433956
1023,2-Nov-20,Alabama,Choctaw,AL,12,395,12589,283,8243,181087
1025,2-Nov-20,Alabama,Clarke,AL,17,1408,23622,140,10470,302118
1027,2-Nov-20,Alabama,Clay,AL,12,779,13235,153,5912,168640
1029,2-Nov-20,Alabama,Cleburne,AL,9,590,14910,263,17259,448133
1031,2-Nov-20,Alabama,Coffee,AL,11,1885,52342,133,6840,159378
1033,2-Nov-20,Alabama,Colbert,AL,32,2313,55241,149,6745,176398
1035,2-Nov-20,Alabama,Conecuh,AL,13,578,12067,112,5356,113863
1037,2-Nov-20,Alabama,Coosa,AL,3,225,10663,299,18115,476919
1039,2-Nov-20,Alabama,Covington,AL,30,1894,37049,293,16007,445342
1041,2-Nov-20,Alabama,Crenshaw,AL,30,624,13772,335,17689,378165
1043,2-Nov-20,Alabama,Cullman,AL,25,2866,83768,254,16184,394353
1045,2-Nov-20,Alabama,Dale,AL,52,1945,49172,82,10420,259500
1047,2-Nov-20,Alabama,Dallas,AL,27,1909,37196,133,7127,148182
1049,2-Nov-20,Alabama,DeKalb,AL,30,3703,71513,221,15700,387530
1051,2-Nov-20,Alabama,Elmore,AL,59,3325,81209,383,17107,395881
1053,2-Nov-20,Alabama,Escambia,AL,31,1768,36633,614,36492,1006450
1055,2-Nov-20,Alabama,Etowah,AL,54,4563,102268,230,19374,455426
1057,2-Nov-20,Alabama,Fayette,AL,14,610,16302,295,16408,336320
1059,2-Nov-20,Alabama,Franklin,AL,32,2189,31362,179,7430,184276
1061,2-Nov-20,Alabama,Geneva,AL,7,984,26271,253,16721,384547
1063,2-Nov-20,Alabama,Greene,AL,17,351,8111,237,14111,275226
1065,2-Nov-20,Alabama,Hale,AL,30,798,14651,206,13733,267646
1067,2-Nov-20,Alabama,Henry,AL,6,752,17205,134,8082,192764
1069,2-Nov-20,Alabama,Houston,AL,35,4341,105882,194,7866,157342
1071,2-Nov-20,Alabama,Jackson,AL,19,2359,51626,228,20754,628427
1073,2-Nov-20,Alabama,Jefferson,AL,388,24597,658573,393,27880,660310
1075,2-Nov-20,Alabama,Lamar,AL,6,533,13805,199,6121,159788
1077,2-Nov-20,Alabama,Lauderdale,AL,43,2765,92729,228,13145,322394
1079,2-Nov-20,Alabama,Lawrence,AL,33,946,32924,215,18826,505323
1081,2-Nov-20,Alabama,Lee,AL,64,6736,164542,357,12896,380655
1083,2-Nov-20,Alabama,Limestone,AL,34,3141,98915,255,20153,682071
1085,2-Nov-20,Alabama,Lowndes,AL,29,731,9726,350,17082,363144
1087,2-Nov-20,Alabama,Macon,AL,20,569,18068,440,24891,580666
1089,2-Nov-20,Alabama,Madison,AL,101,9852,372909,170,17021,443568
1091,2-Nov-20,Alabama,Marengo,AL,23,1069,18863,142,6532,127892
1093,2-Nov-20,Alabama,Marion,AL,31,1134,29709,263,10091,207261
1095,2-Nov-20,Alabama,Marshall,AL,52,4593,96774,290,30018,859589
1097,2-Nov-20,Alabama,Mobile,AL,322,17342,413210,212,14265,421263
1099,2-Nov-20,Alabama,Monroe,AL,10,668,20733,185,12342,325377
1101,2-Nov-20,Alabama,Montgomery,AL,210,10760,226486,199,9483,221859
1103,2-Nov-20,Alabama,Morgan,AL,36,4567,119679,245,21398,685290
1105,2-Nov-20,Alabama,Perry,AL,6,606,8923,128,6617,137532
1107,2-Nov-20,Alabama,Pickens,AL,18,932,19930,282,15277,329012
1109,2-Nov-20,Alabama,Pike,AL,14,1393,33114,329,16934,376559
1111,2-Nov-20,Alabama,Randolph,AL,16,870,22722,348,12250,303603
1113,2-Nov-20,Alabama,Russell,AL,3,2006,57961,302,18087,430694
1115,2-Nov-20,Alabama,St. Clair,AL,43,3254,89512,640,46837,1229952
1117,2-Nov-20,Alabama,Shelby,AL,70,7826,217702,520,33735,905548
1119,2-Nov-20,Alabama,Sumter,AL,21,488,12427,237,6358,153777
1121,2-Nov-20,Alabama,Talladega,AL,38,2818,79978,202,17599,459627
1123,2-Nov-20,Alabama,Tallapoosa,AL,87,1409,40367,221,13901,343693
1125,2-Nov-20,Alabama,Tuscaloosa,AL,145,10824,209355,577,31156,803482
1127,2-Nov-20,Alabama,Walker,AL,95,2985,63521,641,43124,1079162
1129,2-Nov-20,Alabama,Washington,AL,12,776,16326,462,27660,706424
1131,2-Nov-20,Alabama,Wilcox,AL,12,577,10373,147,6811,129588
1133,2-Nov-20,Alabama,Winston,AL,13,985,23629,216,10120,241284
4001,2-Nov-20,Arizona,Apache,AZ,171,4006,71887,799,18742,426277
4003,2-Nov-20,Arizona,Cochise,AZ,75,2260,125922,740,33494,1146310
4005,2-Nov-20,Arizona,Coconino,AZ,149,5429,143476,668,17039,635416
4007,2-Nov-20,Arizona,Gila,AZ,72,1992,54018,4347,188829,5476539
4009,2-Nov-20,Arizona,Graham,AZ,29,1283,38837,1431,56031,1882317
4011,2-Nov-20,Arizona,Greenlee,AZ,2,104,9498,282,7895,271369
4012,2-Nov-20,Arizona,La Paz,AZ,17,628,21108,7029,329305,9978327
4013,2-Nov-20,Arizona,Maricopa,AZ,3609,160264,4485414,1408,60883,2034080
4015,2-Nov-20,Arizona,Mohave,AZ,233,4453,212181,2902,163391,5037108
4017,2-Nov-20,Arizona,Navajo,AZ,241,6545,110924,451,13557,323526
4019,2-Nov-20,Arizona,Pima,AZ,642,28914,1047279,4364,193124,5373247
4021,2-Nov-20,Arizona,Pinal,AZ,228,12210,462789,4352,192453,5625548
4023,2-Nov-20,Arizona,Santa Cruz,AZ,65,3066,46498,717,31174,1173201
4025,2-Nov-20,Arizona,Yavapai,AZ,91,3098,235099,4080,172766,4916197
4027,2-Nov-20,Arizona,Yuma,AZ,358,14041,213787,4605,203004,5735016
5001,2-Nov-20,Arkansas,Arkansas,AR,19,728,17486,184,10242,197063
5003,2-Nov-20,Arkansas,Ashley,AR,11,576,19657,170,5103,124764
5005,2-Nov-20,Arkansas,Baxter,AR,11,785,41932,38,2060,72361
5007,2-Nov-20,Arkansas,Benton,AR,126,8651,279141,243,17873,407972
5009,2-Nov-20,Arkansas,Boone,AR,37,1104,37432,78,3685,116636
5011,2-Nov-20,Arkansas,Bradley,AR,7,374,10763,83,2536,89703
5013,2-Nov-20,Arkansas,Calhoun,AR,0,60,5189,87,2423,87792
5015,2-Nov-20,Arkansas,Carroll,AR,19,1051,28380,245,14152,464571
5017,2-Nov-20,Arkansas,Chicot,AR,23,1057,10118,255,8203,167666
5019,2-Nov-20,Arkansas,Clark,AR,5,533,22320,75,3696,92118
5021,2-Nov-20,Arkansas,Clay,AR,14,519,14551,71,5275,148180
5023,2-Nov-20,Arkansas,Cleburne,AR,16,502,24919,160,7359,271636
5025,2-Nov-20,Arkansas,Cleveland,AR,13,259,7956,144,8098,139293
5027,2-Nov-20,Arkansas,Columbia,AR,22,760,23457,145,4257,130950
5029,2-Nov-20,Arkansas,Conway,AR,4,360,20846,115,8135,238420
5031,2-Nov-20,Arkansas,Craighead,AR,50,4972,110332,154,8335,171760
5033,2-Nov-20,Arkansas,Crawford,AR,30,2204,63257,289,20240,465068
5035,2-Nov-20,Arkansas,Crittenden,AR,53,2543,47955,837,56208,1307791
5037,2-Nov-20,Arkansas,Cross,AR,22,628,16419,93,6621,119516
5039,2-Nov-20,Arkansas,Dallas,AR,6,188,7009,68,3939,110883
5041,2-Nov-20,Arkansas,Desha,AR,7,433,11361,162,7425,107257
5043,2-Nov-20,Arkansas,Drew,AR,7,443,18219,79,5037,72879
5045,2-Nov-20,Arkansas,Faulkner,AR,41,3554,126007,314,17287,616738
5047,2-Nov-20,Arkansas,Franklin,AR,2,580,17715,150,9462,255704
5049,2-Nov-20,Arkansas,Fulton,AR,10,350,12477,38,3626,132823
5051,2-Nov-20,Arkansas,Garland,AR,73,2660,99386,113,7097,196990
5053,2-Nov-20,Arkansas,Grant,AR,4,383,18265,413,22660,629908
5055,2-Nov-20,Arkansas,Greene,AR,20,1681,45325,125,8288,188378
5057,2-Nov-20,Arkansas,Hempstead,AR,5,599,21532,90,3572,94312
5059,2-Nov-20,Arkansas,Hot Spring,AR,37,2300,33771,130,7035,278403
5061,2-Nov-20,Arkansas,Howard,AR,14,625,13202,72,3349,90466
5063,2-Nov-20,Arkansas,Independence,AR,60,1530,37825,112,5442,180374
