fips,state,county,population,vaccinationRate,cases,deaths,Region
1001,AL,Autauga County,55869,0.384,11013,160,Southeast
1003,AL,Baldwin County,223234,0.476,39818,593,Southeast
1005,AL,Barbour County,24686,0.419,3850,81,Southeast
1007,AL,Bibb County,22394,0.326,4524,95,Southeast
1009,AL,Blount County,57826,0.296,11244,198,Southeast
1011,AL,Bullock County,10101,0.476,1675,46,Southeast
1013,AL,Butler County,19448,0.371,3612,102,Southeast
1015,AL,Calhoun County,113605,0.449,23388,532,Southeast
1017,AL,Chambers County,33254,0.295,6166,147,Southeast
1019,AL,Cherokee County,26196,0.301,3382,65,Southeast
1021,AL,Chilton County,44428,0.342,7413,173,Southeast
1023,AL,Choctaw County,12589,0.624,1025,30,Southeast
1025,AL,Clarke County,23622,0.485,4920,88,Southeast
1027,AL,Clay County,13235,0.408,2653,69,Southeast
1029,AL,Cleburne County,14910,0.299,2644,60,Southeast
1031,AL,Coffee County,52342,0.379,9772,195,Southeast
1033,AL,Colbert County,55241,0.457,9809,214,Southeast
1035,AL,Conecuh County,12067,0.403,1981,62,Southeast
1037,AL,Coosa County,10663,0.385,1947,48,Southeast
1039,AL,Covington County,37049,0.363,7129,200,Southeast
1041,AL,Crenshaw County,13772,0.325,2735,79,Southeast
1043,AL,Cullman County,83768,0.364,16949,310,Southeast
1045,AL,Dale County,49172,0.512,9386,194,Southeast
1047,AL,Dallas County,37196,0.424,5560,212,Southeast
1049,AL,DeKalb County,71513,0.32,13499,278,Southeast
1051,AL,Elmore County,81209,0.424,16713,297,Southeast
1053,AL,Escambia County,36633,0.345,7261,148,Southeast
1055,AL,Etowah County,102268,0.391,20669,527,Southeast
1057,AL,Fayette County,16302,0.33,3412,86,Southeast
1059,AL,Franklin County,31362,0.413,6554,111,Southeast
1061,AL,Geneva County,26271,0.366,4754,137,Southeast
1063,AL,Greene County,8111,0.48,1367,45,Southeast
1065,AL,Hale County,14651,0.58,3303,91,Southeast
1067,AL,Henry County,17205,0.429,3318,66,Southeast
1069,AL,Houston County,105882,0.408,18457,432,Southeast
1071,AL,Jackson County,51626,0.463,10620,201,Southeast
1073,AL,Jefferson County,658573,0.543,126498,2024,Southeast
1075,AL,Lamar County,13805,0.413,2608,59,Southeast
1077,AL,Lauderdale County,92729,0.439,15842,318,Southeast
1079,AL,Lawrence County,32924,0.449,5060,136,Southeast
1081,AL,Lee County,164542,0.365,26961,269,Southeast
1083,AL,Limestone County,98915,0.347,17067,229,Southeast
1085,AL,Lowndes County,9726,0.457,1875,68,Southeast
1087,AL,Macon County,18068,0.448,2613,69,Southeast
1089,AL,Madison County,372909,0.575,57698,765,Southeast
1091,AL,Marengo County,18863,0.516,3502,93,Southeast
1093,AL,Marion County,29709,0.348,5554,132,Southeast
1095,AL,Marshall County,96774,0.43,19479,321,Southeast
1097,AL,Mobile County,413210,0.466,77358,1394,Southeast
1099,AL,Monroe County,20733,0.415,3535,66,Southeast
1101,AL,Montgomery County,226486,0.5,37810,796,Southeast
1103,AL,Morgan County,119679,0.413,23808,425,Southeast
1105,AL,Perry County,8923,0.459,1456,41,Southeast
1107,AL,Pickens County,19930,0.464,3459,91,Southeast
1109,AL,Pike County,33114,0.394,5430,111,Southeast
1111,AL,Randolph County,22722,0.318,3611,67,Southeast
1113,AL,Russell County,57961,0.377,7463,67,Southeast
1115,AL,St. Clair County,89512,0.37,17878,365,Southeast
1117,AL,Shelby County,217702,0.341,41181,381,Southeast
1119,AL,Sumter County,12427,0.477,1472,42,Southeast
1121,AL,Talladega County,79978,0.349,14987,307,Southeast
1123,AL,Tallapoosa County,40367,0.371,7745,204,Southeast
1125,AL,Tuscaloosa County,209355,0.413,37619,655,Southeast
1127,AL,Walker County,63521,0.449,12613,388,Southeast
1129,AL,Washington County,16326,0.438,2549,51,Southeast
1131,AL,Wilcox County,10373,0.5,1851,38,Southeast
1133,AL,Winston County,23629,0.209,4945,111,Southeast
2013,AK,Aleutians East Borough,3337,0.713,452,3,Far west
2016,AK,Aleutians West Census Area,5634,0.586,951,1,Far west
2020,AK,Anchorage Municipality,288000,0.6,63352,419,Far west
2050,AK,Bethel Census Area,18386,0.641,6945,32,Far west
2060,AK,Bristol Bay Borough,836,,608,2,Far west
2068,AK,Denali Borough,2097,0.502,294,1,Far west
2070,AK,Dillingham Census Area,4916,0.475,996,10,Far west
2090,AK,Fairbanks North Star Borough,96849,0.528,17554,117,Far west
2100,AK,Haines Borough,2530,0.668,252,1,Far west
2105,AK,Hoonah-Angoon Census Area,2148,0.698,0,0,Far west
2110,AK,Juneau City and Borough,31974,0.701,4448,13,Far west
2122,AK,Kenai Peninsula Borough,58708,0.442,12176,78,Far west
2130,AK,Ketchikan Gateway Borough,13901,0.612,2348,13,Far west
2150,AK,Kodiak Island Borough,12998,0.612,2762,10,Far west
2158,AK,Kusilvak Census Area,8314,0.646,2438,9,Far west
2164,AK,Lake and Peninsula Borough,1592,0.57,121,0,Far west
2170,AK,Matanuska-Susitna Borough,108317,0.361,25091,173,Far west
2180,AK,Nome Census Area,10004,0.662,2381,3,Far west
2185,AK,North Slope Borough,9832,0.369,2918,9,Far west
2188,AK,Northwest Arctic Borough,7621,0.559,2403,9,Far west
2195,AK,Petersburg Borough,3266,0.711,533,2,Far west
2198,AK,Prince of Wales-Hyder Census Area,6203,0.523,634,6,Far west
2220,AK,Sitka City and Borough,8493,0.725,1329,5,Far west
2230,AK,Skagway Municipality,1183,0.708,89,0,Far west
2240,AK,Southeast Fairbanks Census Area,6893,0.322,1407,14,Far west
2275,AK,Wrangell City and Borough,2502,0.564,221,1,Far west
2282,AK,Yakutat City and Borough,579,0.741,63,2,Far west
2290,AK,Yukon-Koyukuk Census Area,5230,0.651,823,8,Far west
4001,AZ,Apache County,71887,0.885,16250,542,Southwest
4003,AZ,Cochise County,125922,0.596,20075,466,Southwest
4005,AZ,Coconino County,143476,0.731,28042,416,Southwest
4007,AZ,Gila County,54018,0.553,12184,308,Southwest
4009,AZ,Graham County,38837,0.584,8968,157,Southwest
4011,AZ,Greenlee County,9498,0.412,1489,27,Southwest
4012,AZ,La Paz County,21108,0.461,3649,108,Southwest
4013,AZ,Maricopa County,4485414,0.535,870352,13675,Southwest
4015,AZ,Mohave County,212181,0.392,39115,1178,Southwest
4017,AZ,Navajo County,110924,0.682,26986,746,Southwest
4019,AZ,Pima County,1047279,0.638,172529,3154,Southwest
4021,AZ,Pinal County,462789,0.499,89242,1308,Southwest
4023,AZ,Santa Cruz County,46498,0.805,10469,206,Southwest
4025,AZ,Yavapai County,235099,0.444,36439,956,Southwest
4027,AZ,Yuma County,213787,0.64,44357,982,Southwest
5001,AR,Arkansas County,17486,0.53,3671,64,Southeast
5003,AR,Ashley County,19657,0.475,3390,55,Southeast
5005,AR,Baxter County,41932,0.452,6638,201,Southeast
5007,AR,Benton County,279141,0.501,46614,685,Southeast
5009,AR,Boone County,37432,0.356,6979,139,Southeast
5011,AR,Bradley County,10763,0.539,2085,42,Southeast
5013,AR,Calhoun County,5189,0.349,632,9,Southeast
5015,AR,Carroll County,28380,0.446,4601,81,Southeast
5017,AR,Chicot County,10118,0.525,2089,48,Southeast
5019,AR,Clark County,22320,0.464,3680,66,Southeast
5021,AR,Clay County,14551,0.434,2970,77,Southeast
5023,AR,Cleburne County,24919,0.417,4289,100,Southeast
5025,AR,Cleveland County,7956,0.498,1522,33,Southeast
5027,AR,Columbia County,23457,0.457,3610,77,Southeast
5029,AR,Conway County,20846,0.512,3518,48,Southeast
5031,AR,Craighead County,110332,0.426,25478,257,Southeast
5033,AR,Crawford County,63257,0.434,11536,193,Southeast
5035,AR,Crittenden County,47955,0.419,9952,189,Southeast
5037,AR,Cross County,16419,0.49,3176,71,Southeast
5039,AR,Dallas County,7009,0.541,1191,20,Southeast
5041,AR,Desha County,11361,0.563,2039,35,Southeast
5043,AR,Drew County,18219,0.455,3074,56,Southeast
5045,AR,Faulkner County,126007,0.463,22254,239,Southeast
5047,AR,Franklin County,17715,0.463,2907,58,Southeast
5049,AR,Fulton County,12477,0.307,2035,78,Southeast
5051,AR,Garland County,99386,0.433,16762,424,Southeast
5053,AR,Grant County,18265,0.444,3063,52,Southeast
5055,AR,Greene County,45325,0.41,11173,133,Southeast
5057,AR,Hempstead County,21532,0.371,3233,49,Southeast
5059,AR,Hot Spring County,33771,0.408,8139,113,Southeast
5061,AR,Howard County,13202,0.518,2703,39,Southeast
5063,AR,Independence County,37825,0.387,7365,171,Southeast
5065,AR,Izard County,13629,0.36,2945,57,Southeast
5067,AR,Jackson County,16719,0.364,4753,47,Southeast
5069,AR,Jefferson County,66824,0.418,13031,235,Southeast
5071,AR,Johnson County,26578,0.466,4893,63,Southeast
5073,AR,Lafayette County,6624,0.396,899,28,Southeast
5075,AR,Lawrence County,16406,0.443,3706,63,Southeast
5077,AR,Lee County,8857,0.316,2295,55,Southeast
5079,AR,Lincoln County,13024,0.334,3907,58,Southeast
5081,AR,Little River County,12259,0.374,2203,84,Southeast
5083,AR,Logan County,21466,0.449,3866,55,Southeast
5085,AR,Lonoke County,73309,0.45,13353,181,Southeast
5087,AR,Madison County,16576,0.41,2896,44,Southeast
5089,AR,Marion County,16694,0.344,2555,71,Southeast
5091,AR,Miller County,43257,0.293,6932,153,Southeast
5093,AR,Mississippi County,40651,0.385,9442,158,Southeast
5095,AR,Monroe County,6701,0.529,1252,26,Southeast
5097,AR,Montgomery County,8986,0.351,1194,53,Southeast
5099,AR,Nevada County,8252,0.417,1497,42,Southeast
5101,AR,Newton County,7753,0.325,1350,44,Southeast
5103,AR,Ouachita County,23382,0.519,3813,91,Southeast
5105,AR,Perry County,10455,0.494,1697,26,Southeast
5107,AR,Phillips County,17782,0.467,3484,81,Southeast
5109,AR,Pike County,10718,0.402,1842,39,Southeast
5111,AR,Poinsett County,23528,0.426,5632,106,Southeast
5113,AR,Polk County,19964,0.333,3090,126,Southeast
5115,AR,Pope County,64072,0.47,12918,165,Southeast
5117,AR,Prairie County,8062,0.409,1355,31,Southeast
5119,AR,Pulaski County,391911,0.55,65856,966,Southeast
5121,AR,Randolph County,17958,0.384,3730,68,Southeast
5123,AR,St. Francis County,24994,0.473,5175,73,Southeast
5125,AR,Saline County,122437,0.477,20387,258,Southeast
5127,AR,Scott County,10281,0.457,1835,33,Southeast
5129,AR,Searcy County,7881,0.373,1441,30,Southeast
5131,AR,Sebastian County,127827,0.468,24355,415,Southeast
5133,AR,Sevier County,17007,0.428,4240,63,Southeast
5135,AR,Sharp County,17442,0.372,3371,78,Southeast
5137,AR,Stone County,12506,0.35,2051,49,Southeast
5139,AR,Union County,38682,0.458,6542,152,Southeast
5141,AR,Van Buren County,16545,0.403,2499,45,Southeast
5143,AR,Washington County,239187,0.523,47853,512,Southeast
5145,AR,White County,78753,0.422,14744,211,Southeast
5147,AR,Woodruff County,6320,0.542,1194,24,Southeast
5149,AR,Yell County,21341,0.463,4981,88,Southeast
6001,CA,Alameda County,1671329,,137131,1544,Far west
6003,CA,Alpine County,1129,,113,0,Far west
6005,CA,Amador County,39752,,5991,70,Far west
6007,CA,Butte County,219186,,26607,341,Far west
6009,CA,Calaveras County,45905,,4738,93,Far west
6011,CA,Colusa County,21547,,3376,21,Far west
6013,CA,Contra Costa County,1153526,,112315,1073,Far west
6015,CA,Del Norte County,27812,,3963,43,Far west
6017,CA,El Dorado County,192843,,19556,172,Far west
6019,CA,Fresno County,999101,,163067,2379,Far west
6021,CA,Glenn County,28393,,4725,54,Far west
6023,CA,Humboldt County,135558,,11197,122,Far west
6025,CA,Imperial County,181215,,42076,799,Far west
6027,CA,Inyo County,18039,,2766,49,Far west
6029,CA,Kern County,900202,,162767,1918,Far west
6031,CA,Kings County,152940,,36559,387,Far west
6033,CA,Lake County,64386,,7239,117,Far west
6035,CA,Lassen County,30573,,8090,61,Far west
6037,CA,Los Angeles County,10039107,,1697286,27637,Far west
6039,CA,Madera County,157327,,27347,324,Far west
6041,CA,Marin County,258826,,21211,249,Far west
6043,CA,Mariposa County,17203,,1736,18,Far west
6045,CA,Mendocino County,86749,,9121,105,Far west
6047,CA,Merced County,277680,,47170,699,Far west
6049,CA,Modoc County,8841,,1116,11,Far west
6051,CA,Mono County,14444,,2122,4,Far west
6053,CA,Monterey County,434061,,55161,649,Far west
6055,CA,Napa County,137744,,14600,107,Far west
6057,CA,Nevada County,99755,,10670,110,Far west
6059,CA,Orange County,3175692,,358569,5890,Far west
6061,CA,Placer County,398329,,45083,489,Far west
6063,CA,Plumas County,18807,,2054,12,Far west
6065,CA,Riverside County,2470546,,415024,5585,Far west
6067,CA,Sacramento County,1552058,,179588,2547,Far west
6069,CA,San Benito County,62808,,8526,79,Far west
6071,CA,San Bernardino County,2180085,,399021,6051,Far west
6073,CA,San Diego County,3338330,,451082,4469,Far west
6075,CA,San Francisco County,881549,,67926,684,Far west
6077,CA,San Joaquin County,762148,,112741,1902,Far west
6079,CA,San Luis Obispo County,283111,,33857,367,Far west
6081,CA,San Mateo County,766573,,63074,636,Far west
6083,CA,Santa Barbara County,446499,,51399,568,Far west
6085,CA,Santa Clara County,1927852,,166609,1970,Far west
6087,CA,Santa Cruz County,273213,,24155,228,Far west
6089,CA,Shasta County,180080,,27032,491,Far west
6091,CA,Sierra County,3005,,229,0,Far west
6093,CA,Siskiyou County,43539,,5103,80,Far west
6095,CA,Solano County,447643,,50405,379,Far west
6097,CA,Sonoma County,494336,,46679,418,Far west
6099,CA,Stanislaus County,550660,,95133,1473,Far west
6101,CA,Sutter County,96971,,15175,193,Far west
6103,CA,Tehama County,65084,,10550,139,Far west
6105,CA,Trinity County,12285,,1043,17,Far west
6107,CA,Tulare County,466195,,89686,1160,Far west
6109,CA,Tuolumne County,54478,,8292,148,Far west
6111,CA,Ventura County,846006,,112871,1211,Far west
6113,CA,Yolo County,220500,,23200,270,Far west
6115,CA,Yuba County,78668,,11691,99,Far west
8001,CO,Adams County,517421,0.64,94408,1094,Rocky Mountain
8003,CO,Alamosa County,16233,0.536,3101,56,Rocky Mountain
8005,CO,Arapahoe County,656590,0.642,102105,1067,Rocky Mountain
8007,CO,Archuleta County,14029,0.554,2066,9,Rocky Mountain
8009,CO,Baca County,3581,0.382,590,7,Rocky Mountain
8011,CO,Bent County,5577,0.251,1958,42,Rocky Mountain
8013,CO,Boulder County,326196,0.755,39792,327,Rocky Mountain
8014,CO,Broomfield County,70465,0.776,8767,97,Rocky Mountain
8015,CO,Chaffee County,20356,0.619,2868,38,Rocky Mountain
8017,CO,Cheyenne County,1831,0.317,249,8,Rocky Mountain
8019,CO,Clear Creek County,9700,0.474,1006,7,Rocky Mountain
8021,CO,Conejos County,8205,0.462,1193,46,Rocky Mountain
8023,CO,Costilla County,3887,0.581,440,13,Rocky Mountain
8025,CO,Crowley County,6061,0.207,2499,27,Rocky Mountain
8027,CO,Custer County,5068,0.46,491,14,Rocky Mountain
8029,CO,Delta County,31162,0.457,4798,123,Rocky Mountain
8031,CO,Denver County,727211,0.723,117579,1099,Rocky Mountain
8033,CO,Dolores County,2055,0.4,288,6,Rocky Mountain
8035,CO,Douglas County,351154,0.7,51749,373,Rocky Mountain
8037,CO,Eagle County,55127,0.784,11646,32,Rocky Mountain
8039,CO,Elbert County,26729,0.357,3330,31,Rocky Mountain
8041,CO,El Paso County,720403,0.592,125644,1404,Rocky Mountain
8043,CO,Fremont County,47839,0.415,10627,160,Rocky Mountain
8045,CO,Garfield County,60061,0.613,9865,78,Rocky Mountain
8047,CO,Gilpin County,6243,0.563,616,3,Rocky Mountain
8049,CO,Grand County,15734,0.607,2571,20,Rocky Mountain
8051,CO,Gunnison County,17462,0.668,2163,13,Rocky Mountain
8053,CO,Hinsdale County,820,0.613,70,0,Rocky Mountain
8055,CO,Huerfano County,6897,0.518,937,27,Rocky Mountain
8057,CO,Jackson County,1392,0.435,128,0,Rocky Mountain
8059,CO,Jefferson County,582881,0.747,82540,1105,Rocky Mountain
8061,CO,Kiowa County,1406,0.363,279,4,Rocky Mountain
8063,CO,Kit Carson County,7097,0.367,1277,25,Rocky Mountain
8065,CO,Lake County,8127,0.572,1275,2,Rocky Mountain
8067,CO,La Plata County,56221,0.682,7730,67,Rocky Mountain
8069,CO,Larimer County,356899,0.651,50188,400,Rocky Mountain
8071,CO,Las Animas County,14506,0.59,2394,33,Rocky Mountain
8073,CO,Lincoln County,5701,0.345,1436,8,Rocky Mountain
8075,CO,Logan County,22409,0.364,5345,97,Rocky Mountain
8077,CO,Mesa County,154210,0.473,30474,469,Rocky Mountain
8079,CO,Mineral County,769,0.802,153,1,Rocky Mountain
8081,CO,Moffat County,13283,0.414,2275,48,Rocky Mountain
8083,CO,Montezuma County,26183,0.593,4231,54,Rocky Mountain
8085,CO,Montrose County,42758,0.459,7030,144,Rocky Mountain
8087,CO,Morgan County,29068,0.45,4253,125,Rocky Mountain
8089,CO,Otero County,18278,0.463,3368,116,Rocky Mountain
8091,CO,Ouray County,4952,0.631,611,6,Rocky Mountain
8093,CO,Park County,18845,0.455,1967,14,Rocky Mountain
8095,CO,Phillips County,4265,0.491,618,15,Rocky Mountain
8097,CO,Pitkin County,17767,0.791,4161,6,Rocky Mountain
8099,CO,Prowers County,12172,0.406,2043,43,Rocky Mountain
8101,CO,Pueblo County,168424,0.537,31666,669,Rocky Mountain
8103,CO,Rio Blanco County,6324,0.369,1289,11,Rocky Mountain
8105,CO,Rio Grande County,11267,0.6,1975,40,Rocky Mountain
