fips,MedianIncome,PovertyEst,LaborForce,UnemploymentRate,Older,Urban,Trump2016,Trump2020,RepGov,Female,AdherentPercent
01001,67565,6242,25838,4.9,13.3516,58.0,73.43579,71.43681,1.0,1.0,67.68788889
01003,71135,20189,96763,5.6,18.08256,57.72,77.35147,76.17137,1.0,1.0,53.174
01005,38866,5548,8587,7.0,17.12386,32.21,52.27142,53.45123,1.0,1.0,54.999
01007,50907,3549,8640,6.6,15.13983,31.65,76.96616,78.42627,1.0,1.0,49.88
01009,55203,7525,24661,4.1,16.11238,10.05,89.85188,89.57156,1.0,1.0,65.162
01011,33124,2552,4818,5.5,14.37811,48.63,24.22889,24.84284,1.0,1.0,57.724
01013,42268,3954,9056,8.8,17.29379,28.77,56.31549,57.5253,1.0,1.0,58.61488889
01015,50259,15915,46240,7.1,15.49407,66.3,69.2397,68.84843,1.0,1.0,71.362
01017,39318,5266,15865,6.8,17.51673,50.85,56.63377,57.26904,1.0,1.0,65.033
01019,50388,3827,11513,4.6,19.28697,14.26,83.87128,86.03365,1.0,1.0,47.924
01021,52693,6094,19592,5.0,14.75768,13.26,82.54177,83.29881,1.0,1.0,69.858
01023,41649,2506,4621,6.7,19.88636,0.0,56.43919,57.55627,1.0,1.0,70.14188889
01025,44178,4471,7769,9.0,17.13478,24.02,54.95517,55.75942,1.0,1.0,79.23988889
01027,44763,1818,6083,4.0,18.04823,0.0,79.58004,80.82251,1.0,1.0,73.96588889
01029,50134,2099,5737,4.6,17.45871,0.0,87.84445,89.71911,1.0,1.0,76.56288889
01031,54203,7303,21502,4.4,15.00895,52.8,77.1462,75.86533,1.0,1.0,66.111
01033,54185,7864,23558,6.6,17.82242,56.11,67.8876,68.86251,1.0,1.0,69.459
01035,34664,2701,4529,7.3,19.65679,19.05,52.16262,53.43891,1.0,1.0,57.07588889
01037,46509,1808,4392,5.5,17.90698,0.0,64.63718,66.27122,1.0,1.0,53.27988889
01039,43544,6219,15172,4.9,19.05337,30.35,83.58832,83.6833,1.0,1.0,61.925
01041,45927,2262,6253,5.7,16.24365,0.0,72.15292,73.50763,1.0,1.0,63.16688889
01043,51844,10381,38310,4.3,17.09974,26.76,87.8105,88.12215,1.0,1.0,78.10188889
01045,48493,7440,20710,4.9,14.84904,49.11,74.11506,72.46428,1.0,1.0,49.217
01047,37679,9471,14619,10.7,15.12635,54.36,30.88094,30.92253,1.0,1.0,60.57988889
01049,47156,10778,30736,4.5,14.49637,9.87,83.48923,84.36777,1.0,1.0,55.36588889
01051,62524,8972,36620,4.9,13.70973,45.81,74.8381,73.51694,1.0,1.0,46.968
01053,41212,6892,14453,6.0,16.8822,36.49,67.58694,68.31552,1.0,1.0,60.059
01055,47872,15650,40724,7.7,16.59986,62.52,73.91084,74.43848,1.0,1.0,80.44188889
01057,45937,2640,6562,5.0,18.7877,19.77,81.8082,83.2763,1.0,1.0,64.02788889
01059,40448,5357,14424,4.4,15.70129,29.63,79.18026,82.49324,1.0,1.0,64.396
01061,39882,5492,10835,4.1,18.14076,10.36,85.4876,86.47269,1.0,1.0,61.545
01063,33609,2210,3015,10.9,17.07176,0.0,17.2357,18.32461,1.0,1.0,26.81
01065,41836,3166,6075,9.4,16.30544,10.83,39.6005,40.26761,1.0,1.0,60.47588889
01067,51126,2743,6814,4.8,19.22399,12.25,70.13846,71.05829,1.0,1.0,47.36388889
01069,54391,15534,46358,5.4,15.57137,66.2,72.72662,70.64301,1.0,1.0,79.824
01071,46606,7777,22840,5.3,17.64199,22.98,80.07217,83.22051,1.0,1.0,54.337
01073,57802,92310,315957,6.2,13.81237,90.17,45.02208,42.60975,1.0,1.0,83.87
01075,40204,2348,5730,4.9,19.28187,0.0,83.95614,85.83345,1.0,1.0,75.81688889
01077,52293,12630,41931,5.5,17.62955,50.7,71.45802,71.54198,1.0,1.0,58.31488889
01079,48924,5005,14363,4.9,15.60252,8.71,73.39124,76.86357,1.0,1.0,52.183
01081,58963,28901,75564,5.2,10.11205,72.59,59.51481,59.0925,1.0,1.0,40.63988889
01083,70850,10285,44624,4.3,13.62271,42.39,73.15736,70.35645,1.0,1.0,51.96488889
01085,37499,2083,3661,13.3,16.24413,0.0,26.22828,26.86174,1.0,1.0,55.023
01087,37736,4543,8063,9.6,17.4993,44.45,15.93507,17.66594,1.0,1.0,44.672
01089,67810,39100,187247,4.6,13.27371,83.56,55.93361,52.77074,1.0,1.0,50.425
01091,43198,3370,7766,6.2,17.88294,30.68,47.71648,49.01835,1.0,1.0,77.25288889
01093,44333,4843,13034,5.1,19.07729,11.15,87.30638,88.39719,1.0,1.0,61.17788889
01095,51417,14754,44275,4.2,15.62182,46.73,83.56071,83.6994,1.0,1.0,65.51588889
01097,50871,71398,190882,7.9,14.08529,79.98,55.74923,55.27451,1.0,1.0,61.29188889
01099,38812,4552,7474,8.2,16.73869,20.96,56.66175,57.62093,1.0,1.0,64.847
01101,49607,44058,107103,7.8,12.8949,89.51,35.87531,33.6003,1.0,1.0,69.73888889
01103,55688,16995,58899,4.5,14.97945,61.4,74.79746,73.83195,1.0,1.0,69.67888889
01105,33712,2443,3437,10.9,17.68817,0.0,26.69838,25.60229,1.0,1.0,53.91388889
01107,41870,4050,7660,6.5,17.59645,0.0,57.44681,57.86098,1.0,1.0,68.36788889
01109,43141,6101,15636,4.9,14.12782,48.32,58.97121,58.10274,1.0,1.0,50.929
01111,46679,3933,9414,4.7,18.67117,18.66,75.98223,78.97942,1.0,1.0,57.321
01113,40821,11702,23500,5.1,12.20739,64.59,48.12918,46.24689,1.0,1.0,69.485
01115,61973,9384,40132,4.9,14.63138,27.2,83.24063,81.37981,1.0,1.0,47.573
01117,88444,15227,114048,3.9,12.33181,77.06,73.42754,69.3345,1.0,1.0,43.93388889
01119,32275,3338,4745,7.0,15.61753,0.0,24.73791,25.40137,1.0,1.0,36.111
01121,44802,12958,36123,7.0,15.6869,44.18,62.00253,62.34753,1.0,1.0,53.475
01123,46654,6004,17864,6.9,18.29058,25.77,70.07674,71.28293,1.0,1.0,69.45588889
01125,56610,28776,102222,6.6,11.71131,74.49,58.37984,56.68833,1.0,1.0,53.58888889
01127,46519,10219,24877,5.8,17.44481,25.91,82.7822,83.41995,1.0,1.0,65.35088889
01129,36346,2769,6729,8.0,15.75668,0.0,71.01978,73.95222,1.0,1.0,58.495
