Symbol,Security,Location,Sector,company,rank,revenue,profit,numEmployees,ceo_founder,ceo_woman,profitable,Market Cap
A,Agilent Technologies,West,Health Care,Agilent Technologies,537,5163,1071,16300,no,no,yes,22177.2
AAL,American Airlines Group,South,Industrials,American Airlines Group,70,45768,1686,133700,no,no,yes,5655
AAP,Advance Auto Parts,South,Consumer Discretionary,Advance Auto Parts,330,9709,486.9,53000,no,no,yes,6461.3
AAPL,Apple,West,Information Technology,Apple,4,260174,55256,137000,no,no,yes,2221176
ABBV,AbbVie,Midwest,Health Care,AbbVie,99,33266,7882,30000,no,no,yes,198828
ABC,AmerisourceBergen,Northeast,Health Care,AmerisourceBergen,10,179589.1,855.4,21500,no,no,yes,21246
ABMD,Abiomed,Northeast,Health Care,,,,,,,,,
ABT,Abbott Laboratories,Midwest,Health Care,Abbott Laboratories,104,31904,3687,107000,no,no,yes,200082
ACN,Accenture,NONUS,Information Technology,,,,,,,,,
ADBE,Adobe,West,Information Technology,Adobe,285,11171.3,2951.5,22634,no,no,yes,224860
ADI,Analog Devices,Northeast,Information Technology,Analog Devices,487,5991.1,1363,16400,no,no,yes,33010.9
ADM,ADM,Midwest,Consumer Staples,Archer Daniels Midland,54,64656,1379,38100,no,no,yes,29767
ADP,Automatic Data Processing,Northeast,Information Technology,Automatic Data Processing,227,14175.2,2292.8,58000,no,no,yes,69618
ADSK,Autodesk,West,Information Technology,Autodesk,737,3274.3,214.5,10100,no,no,yes,67854
AEE,Ameren Corp,Midwest,Utilities,Ameren,488,5910,828,9323,no,no,yes,17969.9
AEP,American Electric Power,Midwest,Utilities,American Electric Power,204,15561.4,1921.1,17408,no,no,yes,40084
AES,AES Corp,South,Utilities,AES,310,10189,303,8000,no,no,yes,9040.8
AFL,Aflac,South,Financials,Aflac,146,22307,3304,11729,no,no,yes,33058
AIG,American International Group,Northeast,Financials,American International Group,66,49746,3348,46000,no,no,yes,27682
AIZ,Assurant,Northeast,Financials,Assurant,315,10086.8,382.6,13900,no,no,yes,6217.9
AJG,Arthur J. Gallagher & Co.,Midwest,Financials,Arthur J. Gallagher,429,7195,668.8,33247,no,no,yes,15454.9
AKAM,Akamai Technologies,Northeast,Information Technology,Akamai Technologies,806,2893.6,478,7724,yes,no,yes,14810.6
ALB,Albemarle Corporation,South,Materials,Albemarle,683,3589.4,533.2,6000,no,no,yes,5993.2
ALGN,Align Technology,West,Health Care,Align Technology,888,2406.8,442.8,14530,no,no,yes,35203
ALK,Alaska Air Group,West,Industrials,Alaska Air Group,360,8781,769,24134,no,no,yes,3490
ALL,Allstate Corp,Midwest,Financials,Allstate,72,44675,4847,46035,no,no,yes,33752
ALLE,Allegion,Northeast,Industrials,,,,,,,,,
