,ticker,marketcap,revenuePerShare,peRatio,debtToEquity,profitMargin,priceToSales,priceToBook,putCallRatio
0,A,35387569392,18.15,43.68835727,2.013738551,0.146473779,6.4,7.37,1.009842286
1,AAL,13081370110,27.1,-1.472298268,-9.02985292,-0.512487743,0.7545,-1.9,0.392597752
2,AAP,11238093274,154.24,22.79435009,3.3261964,0.04878343,1.11,3.16,1.108198953
3,AAPL,2.03841E+12,17.52,31.88504014,5.346309495,0.217349176,6.93,30.78,0.342866121
4,ABBV,1.8842E+11,25.94,41.35636004,11.51460691,0.099467295,4.11,14.41,0.797691485
5,ABC,21459345705,950.37,-6.661267245,-65.7563416,-0.016559144,0.1103,-30.78,1.208762638
6,ABMD,13624471579,17.97,67.96366274,1.132382727,0.246596288,16.76,10.8,1.126742653
7,ABT,2.07712E+11,19.54,46.20952552,2.212908736,0.129883264,6,6.34,0.893309087
8,ACN,1.6496E+11,67.66,31.41405607,2.137118301,0.117395837,3.69,9.21,1.000207005
9,ADBE,2.11475E+11,26.82,40.20428123,1.830820265,0.408765931,16.43,15.94,1.086934303
10,ADI,54920900309,15.88,39.07831638,1.773706198,0.239914345,9.38,4.54,1.04250822
11,ADM,32159066522,115.25,18.14845741,2.48595,0.027534768,0.4997,1.61,0.7250708
12,ADP,76284623617,34.1,30.7339042,8.360322034,0.170111713,5.23,12.93,0.718100769
13,ADSK,58796227468,16.6,137.1500524,85.77922078,0.117435968,16.11,848.43,0.999716664
14,AEE,18459452950,22.87,21.19340178,3.583575744,0.150327925,3.19,2.07,0.899141036
15,AEP,39182070907,30.04,17.80922272,3.929618654,0.147474612,2.63,1.91,0.638448871
16,AES,17364227969,14.46,377.4832167,13.13705391,0.004761905,1.8,6.59,0.675642088
17,AFL,34394924796,32.56,7.198602929,4.919276498,0.213141812,1.53,1.02,0.836301729
18,AIG,40619217723,50.57,-6.800471743,8.837602845,-0.136569416,0.9287,0.6166,1.524570598
19,AIZ,7638571016,174.34,18.05381946,7.502419599,0.041912668,0.7567,1.28,0.984186047
20,AJG,24045071400,36.18,29.36623278,3.60987359,0.116807898,3.43,3.89,0.527124431
21,AKAM,15853584825,19.59,28.45969121,1.826297204,0.174180127,4.96,3.73,0.939949072
22,ALB,16781075323,26.83,44.65854984,2.448545028,0.120094256,5.36,3.93,0.681087632
23,ALGN,42451540581,31.24,23.90440196,1.493470816,0.718418441,17.17,13.13,1.287425332
24,ALK,8061050836,28.71,-6.088406976,4.700803213,-0.371284352,2.26,2.7,0.566782266
25,ALL,33806731810,147.89,6.190575318,4.169407949,0.121921815,0.7548,1.2,1.225465933
26,ALLE,10280876573,29.98,32.71039317,3.700747528,0.115555719,3.78,12.4,1.267103646
27,ALXN,32999178796,27.61,54.68872853,1.553745537,0.099408557,5.44,2.83,0.94624165
28,AMAT,1.04109E+11,19.84,26.99212377,2.031290857,0.211899791,5.72,9.07,0.966261519
29,AMCR,18134560493,7.99,23.32119405,3.488731219,0.062289225,1.45,3.78,0.320714889
30,AMD,95109706307,8.06,38.1966692,1.535377763,0.255044556,9.74,16.29,0.452098806
31,AME,28186435675,19.69,32.30762916,1.740944803,0.192165953,6.21,4.74,0.669160232
32,AMGN,1.31529E+11,44.02,18.10699235,6.690190243,0.285714286,5.17,13.98,1.038999841
33,AMP,26226472498,101.36,17.09678781,28.27390489,0.128282321,2.19,4.47,1.20311209
34,AMT,88876887400,18.1,52.57120987,11.53865885,0.210234409,11.05,21.71,0.708697899
35,AMZN,1.51093E+12,766.66,70.83239739,3.438771359,0.055252497,3.91,16.18,0.81028263
36,ANET,20843099323,30.36,32.84669356,1.427260141,0.273809585,8.99,6.28,1.098195087
37,ANSS,26454887640,19.58,60.97183746,1.449676808,0.258066838,15.73,6.46,1.418151633
38,ANTM,81700537850,493.28,17.86975893,2.608964125,0.037845176,0.6763,2.46,0.991564764
39,AON,52600116375,,,,,,,
40,AOS,10088145760,17.93,29.24948031,1.710057891,0.119124098,3.48,5.46,0.933927848
41,APA,,,,,,,,0.523422654
42,APD,58377269120,40.57,30.83686499,2.056837176,0.210888067,6.5,4.6,0.960249813
43,APH,18441942329,28.7,15.32486482,2.289234712,0.139948133,2.14,3.42,0.73858214
44,APTV,39469608918,48.39,22.31181963,2.21657179,0.135389561,3.02,4.99,0.963515193
45,ARE,21645296329,13.79,28.45104152,1.946822334,0.403466309,11.48,1.85,0.733368955
46,ATO,11753617338,22.32,18.36924628,2.284142891,0.223720601,4.11,1.63,0.583624709
47,ATVI,71726722080,10.44,32.64757491,1.536809204,0.27170418,8.87,4.77,0.760556597
48,AVB,24787059131,16.49,30.02035805,1.785703928,0.358792419,10.77,2.31,0.851394815
49,AVGO,1.83748E+11,58.52,69.00052042,3.176980043,0.111478567,7.69,7.69,1.106342311
50,AVY,14721213248,83.95,26.48176515,4.097178261,0.079738937,2.11,9.91,1.167919799
51,AWK,24654804040,20.84,34.77405365,3.837310195,0.187715118,6.53,3.82,0.749822932
