Symbol,Security,SandP100,FoundedYear,YearOnList,Sector,StateCountry
A,Agilent Technologies Inc,0,1999,2000,Health Care,California
AAL,American Airlines Group,0,1934,2015,Industrials,Texas
AAP,Advance Auto Parts,0,1932,2015,Consumer Discretionary,North Carolina
AAPL,Apple Inc.,1,1977,1982,Information Technology,California
ABBV,AbbVie Inc.,1,2013,2012,Health Care,Illinois
ABC,AmerisourceBergen Corp,0,1985,2001,Health Care,Pennsylvania
ABMD,ABIOMED Inc,0,1981,2018,Health Care,Massachusetts
ABT,Abbott Laboratories,1,1888,1964,Health Care,Illinois
ACN,Accenture plc,1,1989,2011,Information Technology,International
ADBE,Adobe Inc.,1,1982,1997,Information Technology,California
ADI,"Analog Devices, Inc.",0,1965,1999,Information Technology,Massachusetts
ADM,Archer-Daniels-Midland Co,0,1902,1981,Consumer Staples,Illinois
ADP,Automatic Data Processing,0,1949,1981,Information Technology,New Jersey
ADSK,Autodesk Inc.,0,1982,1989,Information Technology,California
AEE,Ameren Corp,0,1902,1991,Utilities,Other
AEP,American Electric Power,0,1906,1957,Utilities,Ohio
AES,AES Corp,0,1981,1998,Utilities,Virginia
AFL,AFLAC Inc,0,1955,1999,Financials,Georgia
AIG,American International Group,1,1919,1980,Financials,New York
AIZ,Assurant,0,1892,2007,Financials,New York
AJG,Arthur J. Gallagher & Co.,0,1927,2016,Financials,Illinois
AKAM,Akamai Technologies Inc,0,1998,2007,Information Technology,Massachusetts
ALB,Albemarle Corp,0,1994,2016,Materials,North Carolina
ALGN,Align Technology,0,1997,2017,Health Care,California
ALK,Alaska Air Group Inc,0,1985,2016,Industrials,Washington
ALL,Allstate Corp,1,1931,1995,Financials,Illinois
ALLE,Allegion,0,1908,2013,Industrials,International
ALXN,Alexion Pharmaceuticals,0,1992,2012,Health Care,Massachusetts
AMAT,Applied Materials Inc.,0,1967,1995,Information Technology,California
AMCR,Amcor plc,0,2019,2019,Materials,International
AMD,Advanced Micro Devices Inc,0,1969,2017,Information Technology,California
AME,AMETEK Inc.,0,1930,2013,Industrials,Pennsylvania
AMGN,Amgen Inc.,1,1980,1992,Health Care,California
AMP,Ameriprise Financial,0,1894,2005,Financials,Minnesota
AMT,American Tower Corp.,1,1995,2007,Real Estate,Massachusetts
AMZN,Amazon.com Inc.,1,1994,2005,Consumer Discretionary,Washington
ANET,Arista Networks,0,2004,2018,Information Technology,California
ANSS,ANSYS,0,1969,2017,Information Technology,Pennsylvania
ANTM,Anthem,0,2014,2002,Health Care,Other
AON,Aon plc,0,1982,1996,Financials,International
AOS,A.O. Smith Corp,0,1916,2017,Industrials,Other
APA,Apache Corporation,0,1954,1997,Energy,Texas
APD,Air Products & Chemicals Inc,0,1940,1985,Materials,Pennsylvania
APH,Amphenol Corp,0,1932,2008,Information Technology,Connecticut
APTV,Aptiv PLC,0,1994,2012,Consumer Discretionary,International
ARE,Alexandria Real Estate Equities,0,1994,2017,Real Estate,California
ATO,Atmos Energy,0,1906,2019,Utilities,Texas
ATVI,Activision Blizzard,0,2008,2015,Communication Services,California
AVB,AvalonBay Communities,0,1978,2007,Real Estate,Virginia
AVGO,Broadcom Inc.,0,1961,2014,Information Technology,California
AVY,Avery Dennison Corp,0,1990,1987,Materials,California
AWK,American Water Works Company Inc,0,1886,2016,Utilities,New Jersey
AXP,American Express Co,1,1850,1976,Financials,New York
