Rank,Company,Ticker,Sector,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Newcomer_to_the_Fortune500,Global500,Number_of_employees,MarketCap_March28_M,Assets_M,Headquarters,CompanyType
1,Walmart,WMT,Consumer Staple,yes,no,no,no,0,no,yes,2100000,484852.8,252399,Arkansas,Public
2,Amazon,AMZN,Consumer Discretionary,yes,no,no,no,0,no,yes,1525000,1873675.8,527854,Washington,Public
3,Apple,AAPL,Technology,yes,no,no,no,1,no,yes,161000,2647973.8,352583,California,Public
4,UnitedHealth Group,UNH,Health Care,yes,no,no,yes,1,no,yes,440000,456080.8,273720,Minnesota,Public
5,Berkshire Hathaway,BRKA,#N/A,yes,no,no,yes,2,no,yes,396500,908919.7,1069978,Nebraska,Public
6,CVS Health,CVS,Health Care,yes,no,yes,no,0,no,yes,259500,100373.9,249728,Rhode Island,Public
7,Exxon Mobil,XOM,Energy,yes,no,no,no,-4,no,yes,61500,461222.2,376317,Texas,Public
8,Alphabet,GOOGL,Communication Services,yes,no,no,no,0,no,yes,182502,1884633,402392,California,Public
9,McKesson,MCK,Health Care,yes,no,no,no,0,no,yes,48000,70546.5,62320,Texas,Public
10,Cencora,COR,Health Care,yes,no,no,yes,1,no,yes,44000,48472.1,62558.7,Pennsylvania,Public
11,Costco Wholesale,COST,Consumer Staple,yes,no,no,yes,1,no,yes,316000,324924.4,68994,Washington,Public
12,JPMorgan Chase,JPM,Financials,yes,no,no,yes,11,no,yes,309926,576938.4,3875393,New York,Public
13,Microsoft,MSFT,Technology,yes,no,no,no,0,no,yes,221000,3126133.1,411976,Washington,Public
14,Cardinal Health,CAH,Health Care,yes,no,no,yes,0,no,yes,47520,27217.8,43417,Ohio,Public
15,Chevron,CVX,Energy,yes,no,no,yes,-5,no,yes,45600,292965.6,261632,California,Public
16,Cigna,CI,Health Care,yes,no,no,yes,-1,no,yes,71413,103017.9,152761,Connecticut,Public
17,Ford Motor,F,Consumer Discretionary,yes,no,no,yes,2,no,yes,177000,53017.8,273310,Michigan,Public
18,Bank of America,BAC,Financials,yes,no,no,no,14,no,yes,212985,299213,3180151,North Carolina,Public
19,General Motors,GM,Consumer Discretionary,yes,no,yes,no,2,no,yes,163000,52353.5,273064,Michigan,Public
20,Elevance Health,ELV,Health Care,yes,no,yes,yes,2,no,yes,104900,120619.6,108928,Indiana,Public
21,Citigroup,C,Financials,yes,no,yes,no,15,no,yes,237925,121122.2,2411834,New York,Public
22,Centene,CNC,Health Care,yes,no,yes,no,3,no,yes,67700,41979.4,84641,Missouri,Public
23,Home Depot,HD,Consumer Discretionary,yes,no,no,no,-3,no,yes,463100,380153.7,76530,Georgia,Public
24,Marathon Petroleum,MPC,Energy,yes,no,no,yes,-8,no,yes,18200,72607.7,85987,Ohio,Public
25,Kroger,KR,Consumer Staple,yes,no,no,no,-1,no,yes,414000,41100.7,50505,Ohio,Public
26,Phillips 66,PSX,Energy,yes,no,no,yes,-9,no,yes,14000,69880.8,75501,Texas,Public
27,Fannie Mae,FNMA,Financials,yes,no,yes,yes,1,no,yes,8100,1818.2,4325437,District Of Columbia,Public
28,Walgreens Boots Alliance,WBA,Consumer Staple,no,no,no,yes,-1,no,yes,268500,18712.3,96628,Illinois,Public
29,Valero Energy,VLO,Energy,yes,no,no,yes,-11,no,yes,9897,56234.5,63056,Texas,Public
30,Meta Platforms,META,Communication Services,yes,yes,no,no,1,no,yes,67317,1237940.1,229623,California,Public
31,Verizon Communications,VZ,Communication Services,yes,no,no,no,-5,no,yes,105400,176651.6,380255,New York,Public
32,AT&T,T,Communication Services,yes,no,no,no,-2,no,yes,150470,125889.1,407060,Texas,Public
33,Comcast,CMCSA,Communication Services,yes,no,no,no,-4,no,yes,186000,172180,264811,Pennsylvania,Public
34,Wells Fargo,WFC,Financials,yes,no,no,no,13,no,yes,226000,205201.8,1932468,California,Public
35,Goldman Sachs Group,GS,Financials,yes,no,no,no,20,no,yes,45300,135551.7,1641594,New York,Public
36,Freddie Mac,FMCC,Financials,yes,no,no,yes,9,no,yes,8020,877.6,3280976,Virginia,Public
37,Target,TGT,Consumer Staple,yes,no,no,no,-4,no,yes,415000,81816.1,55356,Minnesota,Public
38,Humana,HUM,Health Care,yes,no,no,yes,4,no,yes,67600,41796.7,47065,Kentucky,Public
39,State Farm Insurance,,#N/A,no,no,no,yes,5,no,yes,65054,,339484.7,Illinois,Private
40,Tesla,TSLA,Consumer Discretionary,yes,yes,no,yes,10,no,yes,140473,559854.3,106618,Texas,Public
41,Morgan Stanley,MS,Financials,yes,no,no,no,20,no,yes,80006,153976.9,1193693,New York,Public
42,Johnson & Johnson,JNJ,Health Care,yes,no,no,no,-2,no,yes,131900,381203.6,167558,New Jersey,Public
43,Archer Daniels Midland,ADM,Consumer Staple,yes,no,no,no,-8,no,yes,41008,32023.6,54631,Illinois,Public
44,PepsiCo,PEP,Consumer Staple,yes,no,no,yes,2,no,yes,318000,240552.8,100495,New York,Public
45,United Parcel Service,UPS,Industrials,yes,no,yes,no,-8,no,yes,382550,126828.9,70857,Georgia,Public
46,FedEx,FDX,Industrials,yes,no,no,no,-5,no,yes,446400,71299.4,87143,Tennessee,Public
47,Walt Disney,DIS,Communication Services,yes,no,no,yes,1,no,yes,199125,224445.2,205579,California,Public
48,Dell Technologies,DELL,Technology,yes,yes,no,no,-14,no,yes,120000,81450.6,82089,Texas,Public
49,Lowe's,LOW,Consumer Discretionary,yes,no,no,no,-10,no,yes,226000,145752.5,41795,North Carolina,Public
50,Procter & Gamble,PG,Consumer Staple,yes,no,no,yes,1,no,yes,107000,381777.7,120829,Ohio,Public
51,Energy Transfer,ET,Energy,yes,no,no,yes,-8,no,yes,13786,52974.8,113698,Texas,Public
52,Boeing,BA,Industrials,no,no,no,yes,6,no,yes,171000,117750,137012,Virginia,Public
53,Albertsons,ACI,Consumer Staple,yes,no,no,yes,0,no,yes,198650,12350.3,26168.2,Idaho,Public
54,Sysco,SYY,Consumer Staple,yes,no,no,yes,2,no,yes,71750,40413.8,22821.1,Texas,Public
55,RTX,RTX,Industrials,yes,no,no,yes,2,no,yes,185000,129680.3,161869,Virginia,Public
56,General Electric,GE,Industrials,yes,no,no,no,-4,no,yes,125000,191901.2,163045,Massachusetts,Public
57,Lockheed Martin,LMT,Industrials,yes,no,no,yes,3,no,yes,122000,109394.2,52456,Maryland,Public
58,American Express,AXP,Financials,yes,no,no,no,19,no,yes,74600,163945.6,261108,New York,Public
59,Caterpillar,CAT,Industrials,yes,no,no,yes,9,no,yes,113200,182986.8,87476,Texas,Public
60,MetLife,MET,Financials,yes,no,no,no,-6,no,yes,45000,53583,687584,New York,Public
61,HCA Healthcare,HCA,Health Care,yes,no,no,yes,5,no,yes,265000,88213.8,56211,Tennessee,Public
62,Progressive,PGR,#N/A,yes,no,yes,yes,26,no,yes,61432,121134.1,88690.8,Ohio,Public
63,IBM,IBM,Technology,yes,no,no,no,2,no,yes,296600,175061.6,135241,New York,Public
64,Deere,DE,Industrials,yes,no,no,yes,17,no,yes,82956,114332.9,104087,Illinois,Public
65,Nvidia,NVDA,Technology,yes,yes,no,yes,87,no,no,29600,2258900,65728,California,Public
66,StoneX Group,SNEX,Financials,yes,no,no,yes,-7,no,yes,4137,2216.7,21938.7,New York,Public
67,Merck,MRK,Health Care,yes,no,no,yes,2,no,yes,71000,334182.4,106675,New Jersey,Public
68,ConocoPhillips,COP,Energy,yes,no,no,yes,-19,no,yes,9900,149733.3,95924,Texas,Public
69,Pfizer,PFE,Health Care,yes,no,no,yes,-31,no,yes,88000,157135.5,226501,New York,Public
70,Delta Air Lines,DAL,Industrials,yes,no,no,yes,15,no,yes,103000,30795.9,73644,Georgia,Public
71,TD Synnex,SNX,Technology,yes,no,no,no,-7,no,yes,28000,9856.6,29412.8,California,Public
72,Publix Super Markets,PFE,Health Care,yes,no,no,yes,6,no,yes,253000,,34384,Florida,Private
73,Allstate,ALL,Financials,no,no,no,no,11,no,yes,53200,45513.3,103362,Illinois,Public
74,Cisco Systems,CSCO,Technology,yes,no,no,yes,8,no,yes,84900,202094.9,101852,California,Public
75,Nationwide,,#N/A,no,no,no,no,8,no,yes,24118,,290615,Ohio,Private
76,Charter Communications,CHTR,Communication Services,yes,no,no,no,3,no,yes,101100,51316,147193,Connecticut,Public
77,AbbVie,ABBV,Health Care,yes,no,no,no,-4,no,yes,50000,322434.8,134711,Illinois,Public
78,New York Life Insurance,,#N/A,yes,no,no,yes,-7,no,yes,15384,,408904.9,New York,Private
79,Intel,INTC,Technology,yes,no,no,no,-17,no,yes,124800,188026,191572,California,Public
80,TJX,TJX,Consumer Discretionary,yes,no,no,yes,7,no,yes,349000,115586,29747,Massachusetts,Public
81,Prudential Financial,PRU,Financials,yes,no,no,yes,-14,no,yes,40366,42191.2,721123,New Jersey,Public
82,HP,HPQ,Technology,yes,no,no,no,-19,no,yes,58000,29569.7,37004,California,Public
83,United Airlines Holdings,UAL,Industrials,yes,no,no,yes,13,no,yes,103300,15705.9,71104,Illinois,Public
84,Performance Food Group,PFGC,Consumer Staple,yes,no,no,no,7,no,yes,34825,11612.9,12499,Virginia,Public
85,Tyson Foods,TSN,Consumer Staple,no,no,no,no,-5,no,yes,139000,20928.3,36251,Arkansas,Public
86,American Airlines Group,AAL,Industrials,yes,no,no,yes,3,no,yes,132100,10050.5,63058,Texas,Public
87,Liberty Mutual Insurance Group,,#N/A,yes,no,no,no,-1,no,yes,45000,,165208,Massachusetts,Private
88,Nike,NKE,Consumer Discretionary,yes,no,no,yes,5,no,yes,83700,142391.2,37531,Oregon,Public
89,Oracle,ORCL,Technology,yes,no,yes,yes,12,no,yes,164000,345240.8,134384,Texas,Public
90,Enterprise Products Partners,EPD,Energy,yes,no,no,yes,-18,no,yes,7500,63269.4,70982,Texas,Public
91,Capital One Financial,COF,Financials,yes,yes,no,no,15,no,yes,51987,56891.2,478464,Virginia,Public
92,Plains GP Holdings,PAGP,Energy,yes,no,no,yes,-18,no,yes,4200,3597.5,28597,Texas,Public
93,World Kinect,WKC,Energy,yes,no,no,yes,-23,no,yes,5289,1583,7375.3,Florida,Public
94,AIG,AIG,Financials,yes,no,no,no,-18,no,yes,25200,53230.1,539306,New York,Public
95,Coca-Cola,KO,Consumer Staple,yes,no,no,no,5,no,yes,79100,263758.6,97703,Georgia,Public
96,TIAA,,#N/A,no,no,yes,no,7,no,yes,16023,,629369.9,New York,Private
97,CHS,,#N/A,yes,no,no,yes,-7,no,yes,10609,,18957.4,Minnesota,Private
98,Bristol-Myers Squibb,BMY,Health Care,yes,no,no,no,-3,no,yes,34100,109911.1,95159,New Jersey,Public
99,Dow,DOW,Materials,yes,no,no,no,-24,no,yes,35900,40740.3,57967,Michigan,Public
100,Best Buy,BBY,Consumer Discretionary,yes,no,yes,yes,-6,no,yes,85000,17667.7,14967,Minnesota,Public
101,Thermo Fisher Scientific,TMO,Health Care,yes,no,no,no,-4,no,yes,122000,221622.5,98726,Massachusetts,Public
102,Massachusetts Mutual Life Insurance,,#N/A,no,no,no,yes,2,no,yes,11323,,397895,Massachusetts,Private
103,USAA,,#N/A,yes,no,no,yes,11,no,yes,37376,,211637.6,Texas,Private
104,General Dynamics,GD,Industrials,yes,no,yes,yes,1,no,yes,111600,77506.3,54810,Virginia,Public
105,Travelers,TRV,Financials,yes,no,no,yes,7,no,yes,33133,52731,125978,New York,Public
106,Warner Bros. Discovery,WBD,Communication Services,no,no,no,no,12,no,yes,35300,21298.5,122757,New York,Public
107,U.S. Bancorp,USB,Financials,yes,no,no,no,42,no,no,75465,69656.5,663491,Minnesota,Public
108,Abbott Laboratories,ABT,Health Care,yes,no,no,no,-9,no,yes,114000,197221,73214,Illinois,Public
109,Northrop Grumman,NOC,Industrials,yes,no,yes,yes,4,no,yes,101000,70908.8,46544,Virginia,Public
110,Northwestern Mutual,,#N/A,yes,no,no,no,1,no,yes,8239,,358828.6,Wisconsin,Private
111,Dollar General,DG,Consumer Staple,yes,no,no,yes,-3,no,yes,185800,34281.9,30795.6,Tennessee,Public
112,PBF Energy,PBF,Energy,yes,no,no,yes,-20,no,yes,3776,6860.3,14387.8,New Jersey,Public
113,Uber Technologies,UBER,Industrials,yes,no,no,no,14,no,yes,30400,160258.1,38699,California,Public
114,Honeywell International,HON,Industrials,yes,no,no,no,1,no,yes,95000,133860.3,61525,North Carolina,Public
115,Mondelez International,MDLZ,Consumer Staple,yes,no,no,no,16,no,yes,91000,94253.4,71391,Illinois,Public
116,Starbucks,SBUX,Consumer Discretionary,yes,no,no,no,9,no,yes,381000,103471.8,29445.5,Washington,Public
117,Qualcomm,QCOM,Technology,yes,no,no,no,-19,no,yes,50000,188938.8,51040,California,Public
118,Broadcom,AVGO,Technology,yes,no,no,no,5,no,yes,20000,614223.1,72861,California,Public
119,US Foods Holding,USFD,Consumer Staple,yes,no,no,yes,-2,no,yes,30000,13217.4,13187,Illinois,Public
120,D.R. Horton,DHI,Consumer Discretionary,yes,no,no,yes,0,no,yes,13450,54600.5,32582.4,Texas,Public
121,Philip Morris International,PM,Consumer Staple,yes,no,no,yes,7,no,yes,82700,142428,65304,Connecticut,Public
122,Paccar,PCAR,Industrials,yes,no,no,yes,18,no,no,32400,64919.7,40823.4,Washington,Public
123,Salesforce,CRM,Technology,yes,yes,no,no,10,no,yes,72682,292144.6,99823,California,Public
124,Nucor,NUE,Materials,yes,no,no,yes,-22,no,yes,32000,47492,35340.5,North Carolina,Public
125,Jabil,JBL,Technology,yes,no,no,no,-4,no,yes,236000,17084.7,19424,Florida,Public
126,Lennar,LEN,Consumer Discretionary,yes,no,no,yes,-7,no,yes,12284,47374.8,39234.3,Florida,Public
127,Eli Lilly,LLY,Health Care,yes,no,no,yes,15,no,no,43000,739658,64006.3,Indiana,Public
128,Molina Healthcare,MOH,Health Care,yes,no,no,yes,-2,no,yes,18000,24068,14892,California,Public
129,Cummins,CMI,Industrials,yes,no,yes,yes,17,no,no,75500,41798.1,32005,Indiana,Public
130,Bank of New York Mellon,BK,Financials,yes,no,no,yes,71,no,no,53400,43380.4,409953,New York,Public
131,Netflix,NFLX,Communication Services,yes,no,no,yes,-2,no,yes,13000,262827.9,48732,California,Public
132,Truist Financial,TFC,Financials,no,no,no,no,25,no,no,49935,52022.4,535349,North Carolina,Public
133,Arrow Electronics,ARW,Technology,yes,no,no,no,-24,no,yes,22100,6988.1,21726.2,Colorado,Public
134,3M,MMM,Industrials,no,no,no,no,-18,no,yes,85000,58695,50580,Minnesota,Public
135,Visa,V,Financials,yes,no,no,yes,2,no,no,28800,560847.5,90499,California,Public
136,Apollo Global Management,APO,Financials,yes,yes,no,yes,220,no,no,6855,63889.7,313488,New York,Public
137,HF Sinclair,DINO,Energy,yes,no,no,no,-30,no,yes,5218,11987.6,17716.3,Texas,Public
138,CBRE Group,CBRE,Real Estate,yes,no,no,yes,-3,no,no,130000,29725.9,22548,Texas,Public
139,PNC Financial Services Group,PNC,Financials,yes,no,no,no,29,no,no,55612,64291.8,561580,Pennsylvania,Public
140,Lithia Motors,LAD,#N/A,yes,no,no,yes,5,no,no,25051,8283,19632.5,Oregon,Public
