Institution Name,EnrollmentFullTime,State,Ranking List,Rank,Undergraduate Admit Rate,Google Avg Monthly Search Volume,Student Life Grade,15-Year NPV,30-Year NPV,Instructional Wages per Full-Time Student,Average Undergraduate Tuition and Fees,Endowment per Full Time Student,Percentage of International Students,Category
Adelphi University,6562,NY,USN National University Ranking,166,0.74,60500,B+,318000,888000,8995,38740,28738,0.03,Challenged
Agnes Scott College,998,GA,USN National College Ranking,58,0.7,14800,A,213000,596000,10013,41160,229886,0.04,Struggle
Albion College,1509,MI,USN National College Ranking,140,0.68,18100,C+,282000,744000,7170,45590,115513,0.02,Struggle
Allegheny College,1724,PA,USN National College Ranking,82,0.64,22200,B,277000,773000,10638,47540,128095,0.04,Struggle
American University,11435,DC,USN National University Ranking,77,0.32,110000,B,296000,890000,8116,48459,59154,0.03,Thrive
Amherst College,1855,MA,USN National College Ranking,2,0.13,60500,A+,382000,1015000,18413,56426,1281691,0.07,Thrive
Arizona State University-Tempe,46180,AZ,USN National University Ranking,117,0.85,165000,A+,322000,786000,10598,19579,15603,0.06,Survive
Auburn University,25806,AL,USN National University Ranking,104,0.75,135000,A+,273000,748000,6521,20900,29892,0.03,Survive
Augustana College,2534,IL,USN National College Ranking,92,0.64,27100,A-,285000,791000,6303,42135,66351,0.11,Challenged
Austin College,1295,TX,USN National College Ranking,117,0.55,18100,C+,278000,748000,6869,39960,109463,0.01,Struggle
Azusa Pacific University,7194,CA,USN National University Ranking,228,0.69,40500,B,274000,772000,10085,38880,12081,0,Struggle
Baker University,1119,KS,USN National University Ranking,254,0.88,12100,A,307000,807000,6311,29830,34453,0.03,Struggle
Ball State University,15926,IN,USN National University Ranking,192,0.65,60500,A-,252000,652000,7465,18182,13453,0.13,Survive
Bard College,2121,NY,USN National College Ranking,62,0.65,49500,C,177000,564000,21360,54680,69834,0.17,Challenged
Barnard College,2519,NY,USN National College Ranking,25,0.14,60500,A+,343000,907000,12969,55032,136998,0.12,Survive
Bates College,1832,ME,USN National College Ranking,21,0.18,33100,A,326000,902000,12349,53794,172259,0.1,Survive
Baylor University,16451,TX,USN National University Ranking,79,0.39,165000,A-,241000,743000,8764,45542,79678,0.03,Struggle
Bellarmine University,2762,KY,USN National University Ranking,197,0.86,22200,A-,256000,701000,8303,42200,24209,0.02,Struggle
Belmont University,7521,TN,USN National University Ranking,166,0.82,74000,A-,177000,606000,6821,34310,29388,0.01,Struggle
Beloit College,1228,WI,USN National College Ranking,82,0.56,14800,C+,256000,669000,8088,50040,131053,0.2,Challenged
Bennington College,780,VT,USN National College Ranking,89,0.57,14800,B,94000,381000,11669,53860,44814,0.21,Challenged
Berea College,1631,KY,USN National College Ranking,46,0.38,27100,C+,253000,581000,9463,39990,730888,0.07,Struggle
Bethel University,3555,MN,USN National University Ranking,197,0.71,40500,B,249000,710000,7583,37300,18925,0.06,Challenged
Binghamton University,15748,NY,USN National University Ranking,79,0.4,90500,B+,386000,986000,6712,18251,7027,0.06,Survive
Biola University,4656,CA,USN National University Ranking,185,0.73,40500,A-,194000,627000,7526,40488,33195,0.04,Challenged
Birmingham Southern College,1261,AL,USN National College Ranking,140,0.57,8100,B+,246000,700000,6854,17650,44965,0.01,Thrive
