INSTNM,STABBR,PREDDEG,HIGHDEG,CCBASIC,CCUGPROF,CCSIZSET,RELAFFIL,SAT_AVG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,COSTT4_A,AVGFACSAL,PFTFAC
Alabama A & M University,AL,3,4,18,10,14,NULL,957,0.0186,0.912,0.0088,0.0018,0.0022,0.0016,22489,7101,0.7411
University of Alabama at Birmingham,AL,3,4,15,9,15,NULL,1220,0.5717,0.2553,0.0334,0.0633,0.0034,0.0002,24347,10717,0.7766
Amridge University,AL,3,4,20,5,6,74,NULL,0.2393,0.7151,0.0171,0.0057,0.0057,0,17680,4292,1
University of Alabama in Huntsville,AL,3,4,16,15,12,NULL,1314,0.7167,0.0969,0.0528,0.0381,0.0095,0.0008,23441,9442,0.6544
Alabama State University,AL,3,4,19,10,14,NULL,972,0.0167,0.9352,0.0095,0.0041,0.0013,0.0005,21476,7754,0.5826
The University of Alabama,AL,3,4,15,14,16,NULL,1252,0.7774,0.0999,0.0499,0.0116,0.0035,0.001,29424,10225,0.7454
Athens State University,AL,3,4,22,5,9,NULL,NULL,0.7657,0.127,0.0311,0.0073,0.0143,0.0011,NULL,8538,0.4601
Auburn University at Montgomery,AL,3,4,18,9,13,NULL,1084,0.452,0.4131,0.0117,0.0221,0.004,0.0007,18291,7678,0.9655
Auburn University,AL,3,4,15,14,15,NULL,1289,0.8078,0.055,0.0342,0.0236,0.0038,0.0005,31282,10428,0.8553
Birmingham-Southern College,AL,3,3,21,14,11,71,1232,0.7858,0.1391,0.0213,0.0253,0.0032,0,52176,7688,0.6667
Faulkner University,AL,3,4,19,7,10,74,1069,0.4238,0.481,0.0178,0.0053,0.0024,0.0038,33944,5743,0.4534
Huntingdon College,AL,3,3,22,8,7,71,1100,0.6503,0.2171,0.0557,0.0093,0.0074,0.0009,35685,6810,0.5714
Heritage Christian University,AL,3,4,24,5,6,74,NULL,0.7551,0.0816,0.0816,0.0204,0,0,NULL,4681,1
Jacksonville State University,AL,3,4,18,13,13,NULL,1135,0.7183,0.1866,0.0084,0.0067,0.0055,0.0005,20050,7122,0.675
Judson College,AL,3,3,21,9,7,54,1054,0.6988,0.2008,0.0232,0.0039,0.0232,0.0039,31735,6076,0.3678
University of West Alabama,AL,3,4,18,11,13,NULL,1059,0.4326,0.4312,0.0191,0.0033,0.0042,0.0005,20692,6461,0.4906
Miles College,AL,3,3,22,11,11,55,NULL,0.033,0.9483,0.0078,0,0.0006,0,22828,4615,0.7094
University of Mobile,AL,3,4,22,13,11,75,1094,0.5796,0.2519,0.0193,0.0162,0.0216,0.0062,35463,4863,1
University of Montevallo,AL,3,4,19,13,11,NULL,1170,0.6726,0.1666,0.0542,0.0107,0.0036,0.0018,24411,7710,0.6667
University of North Alabama,AL,3,4,18,13,13,NULL,1134,0.734,0.1441,0.0305,0.0064,0.008,0.0003,18712,7898,1
Oakwood University,AL,3,4,22,10,11,95,999,0.0057,0.8279,0.051,0.0038,0.0051,0,36361,4970,0.7386
Samford University,AL,3,4,17,14,14,54,1228,0.851,0.0638,0.0329,0.0105,0.0014,0.0003,46474,8888,0.9848
Selma University,AL,3,4,24,7,6,54,NULL,0.0197,0.9704,0.0099,0,0,0,15822,2957,1
University of South Alabama,AL,3,4,16,13,16,NULL,1186,0.6058,0.2298,0.0367,0.0311,0.0063,0.0016,19835,7239,0.6146
Spring Hill College,AL,3,4,21,12,11,30,1130,0.6637,0.1558,0.0319,0.0112,0.0056,0.0024,51969,6672,0.6667
Stillman College,AL,3,3,21,15,8,66,NULL,0.0566,0.8462,0.0029,0,0.0015,0,21314,5094,0.6949
Talladega College,AL,3,3,21,11,8,76,NULL,0.0281,0.851,0.0406,0.0025,0.0033,0.0008,22514,5861,0.5789
Troy University,AL,3,4,18,7,15,NULL,1082,0.5247,0.3122,0.0374,0.0075,0.005,0.0017,19180,6639,0.533
