order_channel,last_order_channel,Tenure,Recency,Frequency,Spend,PerctOnlineOrders,PrectSpendOnline,Cosmetics,Clothing,Games,Groceries,Office Supplies
Android App,Offline,307,188,5,939.37,0.8000,0.8510,True,False,False,False,False
Android App,Mobile,1667,198,21,2013.55,0.9048,0.9206,True,True,True,True,True
Android App,Android App,645,279,5,585.32,0.6000,0.6754,True,False,True,False,False
Android App,Android App,239,228,2,121.97,0.5000,0.6721,False,True,False,False,False
Desktop,Desktop,761,179,2,209.98,0.5000,0.7619,False,False,False,True,True
Desktop,Offline,1019,173,3,200.86,0.3333,0.2489,True,False,False,False,False
Android App,Android App,547,319,4,375.93,0.7500,0.8404,False,False,False,True,True
Mobile,Offline,475,386,2,163.63,0.5000,0.6945,False,True,False,False,False
Android App,Android App,588,179,5,1054.69,0.6000,0.8858,True,True,True,False,False
Mobile,Mobile,765,333,2,165.96,0.5000,0.5783,True,False,False,True,True
Ios App,Offline,410,404,2,114.98,0.5000,0.3478,True,True,False,False,False
Android App,Android App,2251,106,20,2861.6,0.9500,0.9684,True,True,False,True,True
Mobile,Offline,665,141,4,312.45,0.5000,0.4240,False,False,True,True,True
Android App,Android App,781,240,4,557.79,0.2500,0.1793,False,False,False,True,True
Ios App,Ios App,979,95,24,4413.29,0.9583,0.9685,False,False,True,True,True
Mobile,Desktop,812,381,8,932.36,0.8750,0.8788,True,True,False,False,False
Mobile,Offline,942,295,5,495.25,0.2000,0.1914,False,True,False,False,False
Ios App,Ios App,785,225,4,888.86,0.5000,0.5174,False,False,True,True,True
Android App,Android App,197,144,2,267.12,0.5000,0.7754,False,True,False,True,True
Mobile,Mobile,766,440,2,314.98,0.5000,0.8889,False,False,True,False,False
Android App,Android App,728,221,2,109.97,0.5000,0.5455,True,False,False,False,False
Android App,Offline,736,280,3,730.67,0.3333,0.3216,True,False,True,False,False
Android App,Android App,655,459,2,219.97,0.5000,0.4546,True,False,False,False,False
Android App,Offline,479,216,2,242.45,0.5000,0.2866,True,True,False,False,False
Desktop,Desktop,199,122,4,1106.56,0.2500,0.2409,False,False,False,True,True
Android App,Offline,576,226,3,347.45,0.3333,0.2993,True,False,False,False,False
Mobile,Offline,283,149,2,532.31,0.5000,0.4290,True,False,True,True,True
Mobile,Offline,3013,185,4,130.87,0.7500,0.6877,False,True,False,False,False
Ios App,Ios App,287,237,3,468.47,0.6667,0.6147,False,False,False,True,True
Ios App,Ios App,921,277,2,175.98,0.5000,0.7159,False,False,True,False,False
Android App,Android App,915,144,5,832.82,0.4000,0.5198,False,False,False,True,True
Android App,Android App,697,338,3,526.95,0.6667,0.6584,True,True,False,False,False
Android App,Android App,735,198,5,737.44,0.2000,0.2536,False,False,False,True,True
Ios App,Ios App,593,209,8,923.64,0.8750,0.9026,True,False,True,True,True
Ios App,Offline,494,196,2,298.09,0.5000,0.4600,True,False,True,False,False
Mobile,Mobile,564,419,2,135.48,0.5000,0.6642,False,True,False,False,False
Mobile,Mobile,731,387,2,129.98,0.5000,0.6923,True,False,False,False,False
Ios App,Ios App,564,183,3,714.89,0.6667,0.5804,False,False,False,True,True
Mobile,Offline,731,224,2,340.9,0.5000,0.5013,True,False,False,False,False
Android App,Android App,925,251,5,526.87,0.8000,0.9051,False,False,True,True,True
Android App,Android App,638,280,6,1099.89,0.8333,0.9091,True,False,False,True,True
Android App,Offline,659,415,15,2930.34,0.8000,0.8599,False,False,False,True,True
Ios App,Offline,510,192,5,655.4301,0.6000,0.5873,False,True,False,True,True
Android App,Android App,361,134,2,314.93,0.5000,0.6825,False,False,False,True,True
Desktop,Offline,2076,396,5,791.69,0.8000,0.9110,True,False,False,False,False
Desktop,Offline,702,428,3,1095.39,0.3333,0.6983,True,False,True,False,False
Desktop,Desktop,795,372,2,275.46,0.5000,0.6733,True,False,False,False,False
Mobile,Mobile,616,128,4,869.93,0.7500,0.8621,True,True,True,True,True
Android App,Android App,875,255,3,271.97,0.6667,0.7059,False,False,True,False,False
Ios App,Offline,1353,133,6,740.53,0.3333,0.2268,False,True,True,False,False
Ios App,Offline,352,261,3,1447.99,0.6667,0.5511,False,False,False,True,True
Ios App,Ios App,844,126,4,538.61,0.7500,0.8051,False,True,False,True,True
Android App,Android App,658,197,7,865.89,0.8571,0.7055,False,False,False,True,True
Desktop,Desktop,728,122,3,178.47,0.3333,0.4370,False,False,False,False,False
Android App,Offline,478,386,6,404.93,0.8333,0.8025,True,False,False,False,False
Mobile,Mobile,777,188,2,689.88,0.5000,0.6811,False,False,False,True,True
Android App,Android App,217,203,2,214.86,0.5000,0.4421,True,False,True,False,False
Android App,Android App,134,134,2,746.94,0.5000,0.3856,True,False,False,True,True
