PERSON,GENDER,AGE,MONTHS_AS_MEMBER,INCOME,FREQUENCY,RECENCY,SPEND
68be06ca386d4c31939f3a4f0e3dd783,Unspecified,118,18,0,8,14,2.50625
0610b486422d4921ae7d2bf64640c50b,F,55,13,112000,2,21,27.75
38fe809add3b4fcf9315a9694bb96ff5,Unspecified,118,1,0,5,23,2.592
78afa995795e4d85b5d9ceeca43f5fef,F,75,16,100000,5,16,24.32
a03223e636434f42ac4c3df47e8bac43,Unspecified,118,13,0,2,16,1.78
e2127556f4f64592b11af22de27a7932,M,68,4,70000,1,10,18.42
8ec6ce2a7e7949b1bf142def7d0e0586,Unspecified,118,11,0,0,0,0
68617ca6246f4fbc85e91a2a49552598,Unspecified,118,11,0,1,12,0.05
389bc3fa690240e798340f5a15918d5c,M,65,6,53000,2,22,13.445
8974fc5686fe429db53ddde067b88302,Unspecified,118,21,0,5,19,2.794
c4863c7985cf408faee930f111475da3,Unspecified,118,12,0,8,26,8.19
148adfcaa27d485b82f323aaaad036bd,Unspecified,118,35,0,7,26,2.342857143
2eeac8d8feae4a8cad5a6af0499a211d,M,58,9,51000,3,15,4.433333333
aa4862eba776480b8bb9c68455b8c2e1,F,61,11,57000,5,17,14.644
e12aeaf2d47d42479ea1c4ac3d8286c6,M,26,55,46000,8,25,5.58
31dda685af34476cad5bc968bdb01c53,F,62,31,71000,7,12,19.34
62cf5e10845442329191fc246e7bcea3,M,49,46,52000,7,27,20.55428571
744d603ef08c4f33af5a61c8c7628d1c,Unspecified,118,13,0,4,26,0.97
6445de3b47274c759400cd68131d91b4,M,57,8,42000,4,22,3.6925
a448667f336b42c9a66fc5ffd5d73772,F,61,4,40000,5,20,3.894
440cf1fd7580490c971d8c651ed962af,F,40,28,71000,12,27,23.6725
4b0da7e80e5945209a1fdddfe813dbe0,M,64,11,100000,6,21,29.83
c27e0d6ab72c455a8bb66d980963de60,F,78,14,71000,7,19,20.31571429
2b826eba31074a059d63b0ae8f50b7d5,Unspecified,118,11,0,4,28,2.41
f806632c011441378d4646567f357a21,M,42,61,69000,4,20,15.7775
